"",BBK01.OEAC15J,BBK01.OEAC15J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:10,
2002-01,0.678,
2002-04,0.674,
2002-07,0.673,
2002-10,0.633,
2003-01,0.617,
2003-04,0.562,
2003-07,0.585,
2003-10,0.587,
2004-01,0.566,
2004-04,0.566,
2004-07,0.564,
2004-10,0.558,
2005-01,0.482,
2005-04,0.477,
2005-07,0.455,
2005-10,0.478,
2006-01,0.476,
2006-04,0.484,
2006-07,0.470,
2006-10,0.458,
2007-01,0.462,
2007-04,0.471,
2007-07,0.482,
2007-10,0.484,
2008-01,0.499,
2008-04,0.505,
2008-07,0.489,
2008-10,0.494,
2009-01,0.493,
2009-04,0.512,
2009-07,0.446,
2009-10,0.414,
2010-01,0.268,
2010-04,0.424,
2010-07,0.411,
2010-10,0.413,
2011-01,0.422,
2011-04,0.356,
2011-07,0.402,
2011-10,0.387,
2012-01,0.388,
2012-04,0.390,
2012-07,0.387,
2012-10,0.398,
2013-01,0.404,
2013-04,0.403,
2013-07,0.392,
2013-10,0.390,
2014-01,0.381,
2014-04,0.384,
2014-07,0.387,
