"",BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:51,
1991-01,-25.330,
1991-04,83.035,
1991-07,-66.648,
1991-10,16.954,
1992-01,-177.979,
1992-04,-67.956,
1992-07,-170.286,
1992-10,-149.712,
1993-01,-339.083,
1993-04,-75.408,
1993-07,-215.168,
1993-10,-409.763,
1994-01,861.973,
1994-04,226.506,
1994-07,209.681,
1994-10,-412.732,
1995-01,383.147,
1995-04,374.555,
1995-07,67.230,
1995-10,468.871,
1996-01,333.648,
1996-04,-63.928,
1996-07,29.727,
1996-10,431.934,
1997-01,348.320,
1997-04,159.811,
1997-07,727.947,
1997-10,470.252,
1998-01,-230.639,
1998-04,2825.076,
1998-07,125.817,
1998-10,-1110.207,
1999-01,646.284,
1999-04,1111.740,
1999-07,1135.826,
1999-10,219.809,
2000-01,983.818,
2000-04,500.946,
2000-07,1539.300,
2000-10,2463.855,
2001-01,1943.449,
2001-04,1588.119,
2001-07,447.228,
2001-10,-423.490,
2002-01,83.038,
2002-04,3024.421,
2002-07,218.183,
2002-10,-59.451,
2003-01,522.185,
2003-04,1189.919,
2003-07,-4135.523,
2003-10,-2822.076,
2004-01,2448.721,
2004-04,672.541,
2004-07,1755.691,
2004-10,444.396,
2005-01,1030.858,
2005-04,1024.598,
2005-07,1182.772,
2005-10,813.763,
2006-01,2441.424,
2006-04,902.912,
2006-07,-127.028,
2006-10,1107.321,
2007-01,1085.428,
2007-04,-341.237,
2007-07,152.867,
2007-10,1777.772,
2008-01,-2393.597,
2008-04,-846.625,
2008-07,168.394,
2008-10,-2820.521,
2009-01,-2250.775,
2009-04,-220.873,
2009-07,-157.475,
2009-10,-193.780,
2010-01,-660.347,
2010-04,2280.247,
2010-07,-57.918,
2010-10,1370.070,
2011-01,493.252,
2011-04,-178.749,
2011-07,-746.083,
2011-10,738.735,
2012-01,-2267.628,
2012-04,1014.015,
2012-07,745.316,
2012-10,1125.584,
2013-01,1002.928,
2013-04,1067.696,
2013-07,1436.106,
2013-10,1695.054,
2014-01,291.108,Provisional value
2014-04,1846.281,Provisional value
2014-07,-138.407,Provisional value
2014-10,1700.391,Provisional value
