"",BBK01.OEAB09R,BBK01.OEAB09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:18,
2002-01,5.511,
2002-04,5.505,
2002-07,5.609,
2002-10,5.681,
2003-01,5.795,
2003-04,5.722,
2003-07,5.666,
2003-10,5.674,
2004-01,5.648,
2004-04,5.658,
2004-07,5.589,
2004-10,5.561,
2005-01,5.471,
2005-04,5.471,
2005-07,5.434,
2005-10,5.294,
2006-01,5.305,
2006-04,5.404,
2006-07,5.349,
2006-10,5.402,
2007-01,5.395,
2007-04,5.127,
2007-07,5.083,
2007-10,5.161,
2008-01,9.999,
2008-04,5.476,
2008-07,5.509,
2008-10,5.801,
2009-01,5.871,
2009-04,5.990,
2009-07,6.029,
2009-10,6.322,
2010-01,6.480,
2010-04,6.616,
2010-07,6.737,
2010-10,6.812,
2011-01,7.009,
2011-04,7.130,
2011-07,7.182,
2011-10,7.413,
2012-01,7.537,
2012-04,7.704,
2012-07,7.961,
2012-10,8.195,
2013-01,8.325,
2013-04,8.452,
2013-07,8.540,
2013-10,8.759,
2014-01,8.880,
2014-04,8.850,
2014-07,8.851,
