"",BBK01.CEH00N,BBK01.CEH00N_FLAGS
"",Acquisition of financial assets debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:33,
1991-01,16.4,
1991-04,12.2,
1991-07,24.2,
1991-10,24.8,
1992-01,-0.4,
1992-04,13.8,
1992-07,75.9,
1992-10,11.5,
1993-01,48.2,
1993-04,34.7,
1993-07,47.0,
1993-10,36.5,
1994-01,-0.3,
1994-04,6.3,
1994-07,32.5,
1994-10,19.4,
1995-01,25.0,
1995-04,49.4,
1995-07,46.2,
1995-10,5.4,
1996-01,22.4,
1996-04,45.2,
1996-07,19.3,
1996-10,31.9,
1997-01,71.4,
1997-04,59.2,
1997-07,32.9,
1997-10,44.3,
1998-01,88.0,
1998-04,101.9,
1998-07,65.3,
1998-10,69.9,
1999-01,63.5,
1999-04,97.0,
1999-07,74.0,
1999-10,76.2,
2000-01,150.8,
2000-04,124.3,
2000-07,42.6,
2000-10,15.3,
2001-01,181.3,
2001-04,88.1,
2001-07,11.5,
2001-10,28.7,
2002-01,45.9,
2002-04,96.3,
2002-07,78.2,
2002-10,5.7,
2003-01,75.4,
2003-04,66.6,
2003-07,-6.5,
2003-10,56.9,
2004-01,82.6,
2004-04,-41.2,
2004-07,68.6,
2004-10,24.1,
2005-01,150.3,
2005-04,47.6,
2005-07,60.6,
2005-10,57.6,
2006-01,80.7,
2006-04,69.4,
2006-07,50.1,
2006-10,2.4,
2007-01,120.2,
2007-04,180.5,
2007-07,28.4,
2007-10,-3.0,
2008-01,158.0,
2008-04,18.7,
2008-07,36.8,
2008-10,-141.0,
2009-01,-73.5,
2009-04,2.3,
2009-07,-72.7,
2009-10,4.9,
2010-01,59.7,
2010-04,127.0,
2010-07,8.5,
2010-10,24.8,
2011-01,-73.2,
2011-04,49.1,
2011-07,223.4,
2011-10,-114.5,
2012-01,221.6,
2012-04,128.4,
2012-07,-13.3,
2012-10,-119.5,
2013-01,-3.6,
2013-04,2.5,
2013-07,-158.9,
2013-10,-71.0,
2014-01,46.7,
