"",BBK01.OEAH68R,BBK01.OEAH68R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:55,
2002-01,5.155,
2002-04,5.025,
2002-07,5.089,
2002-10,5.321,
2003-01,5.418,
2003-04,5.394,
2003-07,5.470,
2003-10,5.577,
2004-01,5.625,
2004-04,5.607,
2004-07,5.615,
2004-10,5.728,
2005-01,6.344,
2005-04,6.340,
2005-07,6.399,
2005-10,6.508,
2006-01,6.444,
2006-04,6.357,
2006-07,6.291,
2006-10,6.225,
2007-01,6.073,
2007-04,5.988,
2007-07,5.893,
2007-10,5.961,
2008-01,5.927,
2008-04,5.855,
2008-07,5.766,
2008-10,5.822,
2009-01,5.913,
2009-04,5.933,
2009-07,6.054,
2009-10,6.256,
2010-01,6.309,
2010-04,6.336,
2010-07,6.403,
2010-10,6.547,
2011-01,6.636,
2011-04,6.597,
2011-07,6.553,
2011-10,6.632,
2012-01,6.720,
2012-04,6.679,
2012-07,6.736,
2012-10,6.870,
2013-01,6.909,
2013-04,6.899,
2013-07,7.002,
2013-10,7.114,
2014-01,7.156,
2014-04,7.116,
2014-07,7.155,
