"",BBSF2.M.1.T.00000.HED01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.HED01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Hedgefunds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:12,
2009-09,38,
2009-10,38,
2009-11,38,
2009-12,38,
2010-01,27,
2010-02,24,
2010-03,20,
2010-04,19,
2010-05,19,
2010-06,17,
2010-07,17,
2010-08,16,
2010-09,13,
2010-10,10,
2010-11,10,
2010-12,10,
2011-01,10,
2011-02,10,
2011-03,10,
2011-04,37,
2011-05,37,
2011-06,10,
2011-07,10,
2011-08,10,
2011-09,11,
2011-10,10,
2011-11,10,
2011-12,10,
2012-01,10,
2012-02,10,
2012-03,19,
2012-04,31,
2012-05,32,
2012-06,32,
2012-07,26,
2012-08,25,
2012-09,19,
2012-10,19,
2012-11,19,
2012-12,22,
2013-01,23,
2013-02,23,
2013-03,22,
2013-04,22,
2013-05,24,
2013-06,24,
2013-07,22,
2013-08,20,
2013-09,18,
2013-10,20,
2013-11,22,
2013-12,20,
2014-01,21,
2014-02,21,
2014-03,18,
2014-04,26,
2014-05,24,
2014-06,24,
2014-07,24,
2014-08,23,
2014-09,21,
2014-10,23,
2014-11,19,
