"",BBK01.OEXM02M,BBK01.OEXM02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:36,
2002-01,0.038,
2002-04,0.057,
2002-07,0.021,
2002-10,0.064,
2003-01,0.046,
2003-04,0.054,
2003-07,0.052,
2003-10,0.038,
2004-01,0.062,
2004-04,0.080,
2004-07,0.041,
2004-10,0.039,
2005-01,0.049,
2005-04,0.056,
2005-07,0.034,
2005-10,0.070,
2006-01,0.079,
2006-04,0.049,
2006-07,0.180,
2006-10,0.184,
2007-01,0.087,
2007-04,0.149,
2007-07,0.179,
2007-10,0.129,
2008-01,0.075,
2008-04,0.096,
2008-07,0.067,
2008-10,0.087,
2009-01,0.156,
2009-04,0.505,
2009-07,0.524,
2009-10,0.253,
2010-01,0.436,
2010-04,0.494,
2010-07,0.499,
2010-10,0.769,
2011-01,0.531,
2011-04,0.349,
2011-07,0.531,
2011-10,0.825,
2012-01,0.779,
2012-04,0.822,
2012-07,1.015,
2012-10,1.002,
2013-01,1.049,
2013-04,1.075,
2013-07,1.167,
2013-10,0.850,
2014-01,0.752,
2014-04,0.796,
2014-07,1.090,
