"",BBK01.OEBB07L,BBK01.OEBB07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:17,
2002-01,7.293,
2002-04,7.403,
2002-07,7.685,
2002-10,7.202,
2003-01,8.334,
2003-04,8.437,
2003-07,8.577,
2003-10,9.354,
2004-01,9.826,
2004-04,10.357,
2004-07,10.639,
2004-10,10.007,
2005-01,10.808,
2005-04,10.873,
2005-07,12.367,
2005-10,15.081,
2006-01,14.837,
2006-04,15.698,
2006-07,16.155,
2006-10,15.820,
2007-01,20.018,
2007-04,20.860,
2007-07,20.647,
2007-10,21.425,
2008-01,23.445,
2008-04,22.753,
2008-07,24.118,
2008-10,24.029,
2009-01,26.334,
2009-04,26.125,
2009-07,25.517,
2009-10,27.264,
2010-01,23.585,
2010-04,23.968,
2010-07,23.798,
2010-10,24.087,
2011-01,24.000,
2011-04,22.621,
2011-07,23.121,
2011-10,22.471,
2012-01,22.401,
2012-04,22.578,
2012-07,22.488,
2012-10,22.749,
2013-01,22.354,
2013-04,21.933,
2013-07,21.446,
2013-10,20.152,
2014-01,19.941,
2014-04,19.816,
2014-07,19.980,
