"",BBK01.OEXI09O,BBK01.OEXI09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:22,
2002-01,-0.179,
2002-04,-0.147,
2002-07,-0.076,
2002-10,-0.055,
2003-01,-0.063,
2003-04,-0.076,
2003-07,-0.090,
2003-10,-0.099,
2004-01,-0.068,
2004-04,-0.070,
2004-07,-0.071,
2004-10,-0.054,
2005-01,0.277,
2005-04,0.262,
2005-07,0.231,
2005-10,0.229,
2006-01,0.226,
2006-04,0.188,
2006-07,0.199,
2006-10,0.220,
2007-01,0.351,
2007-04,0.398,
2007-07,0.442,
2007-10,0.515,
2008-01,0.555,
2008-04,0.570,
2008-07,0.592,
2008-10,0.868,
2009-01,0.836,
2009-04,0.826,
2009-07,0.830,
2009-10,0.661,
2010-01,0.520,
2010-04,0.503,
2010-07,0.476,
2010-10,0.624,
2011-01,0.769,
2011-04,0.796,
2011-07,0.810,
2011-10,0.750,
2012-01,0.654,
2012-04,0.659,
2012-07,0.616,
2012-10,0.506,
2013-01,0.411,
2013-04,0.331,
2013-07,0.301,
2013-10,0.280,
2014-01,0.270,
2014-04,0.256,
2014-07,0.359,
