"",BBK01.OEXI08Q,BBK01.OEXI08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:16,
2002-01,1.472,
2002-04,1.453,
2002-07,1.458,
2002-10,1.546,
2003-01,1.658,
2003-04,1.679,
2003-07,1.640,
2003-10,1.613,
2004-01,1.596,
2004-04,1.556,
2004-07,1.514,
2004-10,0.674,
2005-01,0.680,
2005-04,0.669,
2005-07,0.664,
2005-10,0.688,
2006-01,0.702,
2006-04,0.680,
2006-07,0.674,
2006-10,0.680,
2007-01,0.686,
2007-04,0.695,
2007-07,0.702,
2007-10,0.738,
2008-01,0.765,
2008-04,0.743,
2008-07,0.748,
2008-10,0.780,
2009-01,0.816,
2009-04,0.868,
2009-07,0.909,
2009-10,0.951,
2010-01,0.969,
2010-04,0.967,
2010-07,0.949,
2010-10,0.953,
2011-01,0.966,
2011-04,0.855,
2011-07,0.805,
2011-10,0.827,
2012-01,0.830,
2012-04,0.832,
2012-07,0.856,
2012-10,0.907,
2013-01,0.906,
2013-04,0.901,
2013-07,0.915,
2013-10,0.931,
2014-01,0.941,
2014-04,0.933,
2014-07,0.920,
