"",BBK01.TXI395,BBK01.TXI395_FLAGS
"",OTHER LIABILITIES / TOTAL / GERMAN CONTRIBUTION,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:43,
1980-01,45354,
1980-02,42576,
1980-03,44846,
1980-04,41232,
1980-05,42202,
1980-06,46700,
1980-07,48563,
1980-08,48446,
1980-09,52494,
1980-10,52851,
1980-11,55838,
1980-12,47745,
1981-01,47707,
1981-02,48126,
1981-03,51037,
1981-04,46403,
1981-05,48396,
1981-06,53520,
1981-07,53212,
1981-08,55296,
1981-09,59548,
1981-10,60568,
1981-11,63367,
1981-12,56485,
1982-01,58693,
1982-02,58383,
1982-03,60209,
1982-04,53437,
1982-05,54410,
1982-06,60338,
1982-07,60558,
1982-08,62570,
1982-09,67887,
1982-10,69124,
1982-11,70985,
1982-12,61149,
1983-01,63985,
1983-02,62928,
1983-03,64201,
1983-04,57281,
1983-05,59344,
1983-06,64845,
1983-07,65991,
1983-08,66706,
1983-09,71036,
1983-10,72778,
1983-11,74137,
1983-12,68352,
1984-01,70043,
1984-02,68796,
1984-03,69888,
1984-04,65693,
1984-05,64868,
1984-06,68341,
1984-07,69863,
1984-08,68917,
1984-09,76494,
1984-10,77143,
1984-11,77972,
1984-12,74318,
1985-01,75894,
1985-02,76982,
1985-03,81019,
1985-04,75605,
1985-05,73347,
1985-06,79522,
1985-07,78615,
1985-08,76101,
1985-09,82987,
1985-10,84185,
1985-11,83853,
1985-12,78949,
1986-01,78511,
1986-02,79649,
1986-03,82791,
1986-04,76249,
1986-05,75176,
1986-06,80227,
1986-07,80364,
1986-08,81747,
1986-09,86691,
1986-10,85992,
1986-11,88860,
1986-12,79553,
1987-01,80151,
1987-02,78917,
1987-03,81072,
1987-04,75662,
1987-05,77947,
1987-06,82829,
1987-07,81748,
1987-08,83806,
1987-09,88846,
1987-10,90922,
1987-11,91700,
1987-12,78041,
1988-01,79712,
1988-02,78447,
1988-03,78412,
1988-04,77926,
1988-05,79231,
1988-06,85086,
1988-07,86971,
1988-08,86944,
1988-09,90974,
1988-10,94587,
1988-11,95146,
1988-12,88294,
1989-01,89454,
1989-02,88061,
1989-03,88202,
1989-04,84087,
1989-05,82985,
1989-06,89569,
