"",BBK01.OEHL08T,BBK01.OEHL08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:20,
2002-01,6.244,
2002-04,6.218,
2002-07,6.238,
2002-10,6.415,
2003-01,6.517,
2003-04,6.607,
2003-07,6.684,
2003-10,6.804,
2004-01,6.858,
2004-04,6.828,
2004-07,6.781,
2004-10,6.901,
2005-01,6.924,
2005-04,6.904,
2005-07,6.964,
2005-10,7.049,
2006-01,7.055,
2006-04,7.010,
2006-07,6.930,
2006-10,6.908,
2007-01,6.866,
2007-04,6.778,
2007-07,6.661,
2007-10,6.674,
2008-01,6.594,
2008-04,6.558,
2008-07,6.464,
2008-10,6.476,
2009-01,6.581,
2009-04,6.590,
2009-07,6.680,
2009-10,6.857,
2010-01,7.058,
2010-04,7.188,
2010-07,7.273,
2010-10,7.493,
2011-01,7.584,
2011-04,7.604,
2011-07,7.545,
2011-10,7.590,
2012-01,7.628,
2012-04,7.638,
2012-07,7.674,
2012-10,7.798,
2013-01,7.945,
2013-04,7.965,
2013-07,8.015,
2013-10,8.089,
2014-01,8.099,
2014-04,8.118,
2014-07,8.140,
