"",BBK01.OECB22N,BBK01.OECB22N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:54,
2002-01,0.695,
2002-04,0.759,
2002-07,0.404,
2002-10,0.397,
2003-01,0.484,
2003-04,0.463,
2003-07,0.626,
2003-10,0.717,
2004-01,0.726,
2004-04,0.485,
2004-07,0.447,
2004-10,0.398,
2005-01,0.483,
2005-04,0.649,
2005-07,0.500,
2005-10,0.472,
2006-01,0.714,
2006-04,0.945,
2006-07,0.976,
2006-10,1.028,
2007-01,1.193,
2007-04,1.356,
2007-07,1.275,
2007-10,1.861,
2008-01,2.124,
2008-04,1.975,
2008-07,1.557,
2008-10,0.923,
2009-01,0.378,
2009-04,0.503,
2009-07,0.497,
2009-10,0.283,
2010-01,0.254,
2010-04,0.346,
2010-07,0.305,
2010-10,0.240,
2011-01,0.171,
2011-04,0.295,
2011-07,0.205,
2011-10,0.439,
2012-01,0.343,
2012-04,0.355,
2012-07,0.405,
2012-10,0.294,
2013-01,0.386,
2013-04,0.510,
2013-07,0.512,
2013-10,0.522,
2014-01,1.433,
2014-04,1.776,
2014-07,1.600,
