"",BBK01.OEAA14G,BBK01.OEAA14G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:25,
2002-01,35.070,
2002-04,37.123,
2002-07,37.241,
2002-10,36.655,
2003-01,35.777,
2003-04,36.682,
2003-07,37.053,
2003-10,37.689,
2004-01,38.619,
2004-04,39.661,
2004-07,39.342,
2004-10,39.668,
2005-01,36.581,
2005-04,36.296,
2005-07,37.788,
2005-10,37.100,
2006-01,36.840,
2006-04,36.206,
2006-07,36.668,
2006-10,35.072,
2007-01,34.788,
2007-04,34.422,
2007-07,33.261,
2007-10,32.874,
2008-01,32.042,
2008-04,32.193,
2008-07,33.137,
2008-10,33.420,
2009-01,35.986,
2009-04,37.809,
2009-07,40.082,
2009-10,40.161,
2010-01,39.584,
2010-04,39.706,
2010-07,41.711,
2010-10,42.870,
2011-01,42.880,
2011-04,42.161,
2011-07,42.704,
2011-10,43.927,
2012-01,43.463,
2012-04,43.436,
2012-07,42.906,
2012-10,42.851,
2013-01,41.967,
2013-04,41.714,
2013-07,40.378,
2013-10,41.211,
2014-01,40.451,
2014-04,39.676,
2014-07,39.511,
