"",BBK01.OECI04V,BBK01.OECI04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:44,
2002-01,1.566,
2002-04,1.549,
2002-07,1.619,
2002-10,1.646,
2003-01,1.551,
2003-04,1.532,
2003-07,1.463,
2003-10,1.560,
2004-01,1.402,
2004-04,1.281,
2004-07,1.350,
2004-10,1.323,
2005-01,1.276,
2005-04,1.258,
2005-07,1.182,
2005-10,1.271,
2006-01,1.256,
2006-04,1.224,
2006-07,1.334,
2006-10,1.569,
2007-01,1.684,
2007-04,1.626,
2007-07,1.766,
2007-10,2.056,
2008-01,2.196,
2008-04,2.431,
2008-07,2.939,
2008-10,2.866,
2009-01,2.441,
2009-04,2.323,
2009-07,1.942,
2009-10,1.714,
2010-01,1.634,
2010-04,1.500,
2010-07,1.328,
2010-10,1.266,
2011-01,1.409,
2011-04,1.389,
2011-07,1.401,
2011-10,1.748,
2012-01,1.929,
2012-04,2.574,
2012-07,2.165,
2012-10,1.724,
2013-01,1.670,
2013-04,1.860,
2013-07,1.856,
2013-10,1.823,
2014-01,1.720,
2014-04,1.868,
2014-07,1.756,
