"",BBK01.OEAA46O,BBK01.OEAA46O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:42,
2002-01,0.903,
2002-04,0.855,
2002-07,1.037,
2002-10,1.144,
2003-01,1.166,
2003-04,1.063,
2003-07,1.104,
2003-10,1.146,
2004-01,0.586,
2004-04,0.520,
2004-07,0.474,
2004-10,0.404,
2005-01,0.867,
2005-04,0.896,
2005-07,0.939,
2005-10,0.847,
2006-01,0.864,
2006-04,0.793,
2006-07,0.716,
2006-10,0.762,
2007-01,0.755,
2007-04,0.872,
2007-07,1.060,
2007-10,1.064,
2008-01,1.024,
2008-04,0.978,
2008-07,0.844,
2008-10,0.798,
2009-01,0.801,
2009-04,0.778,
2009-07,0.757,
2009-10,0.950,
2010-01,1.193,
2010-04,1.465,
2010-07,1.985,
2010-10,2.404,
2011-01,2.585,
2011-04,2.983,
2011-07,3.264,
2011-10,3.212,
2012-01,3.309,
2012-04,3.355,
2012-07,3.260,
2012-10,3.294,
2013-01,3.068,
2013-04,2.952,
2013-07,2.833,
2013-10,2.689,
2014-01,2.563,
2014-04,2.372,
2014-07,2.426,
