"",BBK01.OEXB03M,BBK01.OEXB03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:46,
2002-01,8.741,
2002-04,9.029,
2002-07,9.448,
2002-10,9.960,
2003-01,10.101,
2003-04,10.396,
2003-07,10.750,
2003-10,10.846,
2004-01,10.719,
2004-04,10.981,
2004-07,11.247,
2004-10,10.215,
2005-01,10.255,
2005-04,10.464,
2005-07,9.777,
2005-10,10.017,
2006-01,10.125,
2006-04,10.632,
2006-07,11.316,
2006-10,10.789,
2007-01,11.008,
2007-04,10.050,
2007-07,10.474,
2007-10,10.711,
2008-01,9.781,
2008-04,9.906,
2008-07,9.384,
2008-10,9.846,
2009-01,10.767,
2009-04,12.008,
2009-07,12.903,
2009-10,13.658,
2010-01,14.113,
2010-04,14.191,
2010-07,14.698,
2010-10,15.069,
2011-01,14.507,
2011-04,14.362,
2011-07,14.481,
2011-10,15.171,
2012-01,15.828,
2012-04,16.814,
2012-07,17.424,
2012-10,18.084,
2013-01,17.501,
2013-04,17.967,
2013-07,17.828,
2013-10,18.345,
2014-01,18.488,
2014-04,17.824,
2014-07,18.440,
