"",BBK01.OELB05N,BBK01.OELB05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:18,
2002-01,75.449,
2002-04,76.282,
2002-07,77.221,
2002-10,78.410,
2003-01,78.419,
2003-04,79.284,
2003-07,80.066,
2003-10,81.239,
2004-01,81.934,
2004-04,82.787,
2004-07,83.060,
2004-10,84.006,
2005-01,84.204,
2005-04,84.624,
2005-07,85.125,
2005-10,85.605,
2006-01,86.075,
2006-04,86.540,
2006-07,87.247,
2006-10,87.518,
2007-01,87.780,
2007-04,88.337,
2007-07,89.036,
2007-10,89.569,
2008-01,90.124,
2008-04,90.840,
2008-07,91.793,
2008-10,92.827,
2009-01,93.201,
2009-04,94.088,
2009-07,95.136,
2009-10,96.045,
2010-01,96.888,
2010-04,98.149,
2010-07,99.277,
2010-10,100.269,
2011-01,101.060,
2011-04,102.412,
2011-07,103.359,
2011-10,104.214,
2012-01,105.167,
2012-04,88.462,
2012-07,89.511,
2012-10,90.461,
2013-01,91.068,
2013-04,91.946,
2013-07,93.273,
2013-10,93.922,
2014-01,94.767,
2014-04,95.733,
2014-07,96.777,
