"",BBK01.OEAI06Q,BBK01.OEAI06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:40,
2002-01,2.210,
2002-04,2.227,
2002-07,2.188,
2002-10,2.131,
2003-01,2.074,
2003-04,1.820,
2003-07,1.989,
2003-10,1.989,
2004-01,2.046,
2004-04,1.957,
2004-07,1.937,
2004-10,1.893,
2005-01,1.783,
2005-04,1.749,
2005-07,1.659,
2005-10,1.622,
2006-01,1.629,
2006-04,1.638,
2006-07,1.630,
2006-10,1.609,
2007-01,1.623,
2007-04,1.624,
2007-07,1.640,
2007-10,1.668,
2008-01,1.668,
2008-04,1.680,
2008-07,1.758,
2008-10,1.797,
2009-01,1.742,
2009-04,1.645,
2009-07,1.535,
2009-10,1.438,
2010-01,1.377,
2010-04,1.400,
2010-07,1.877,
2010-10,1.976,
2011-01,1.771,
2011-04,1.831,
2011-07,1.781,
2011-10,1.756,
2012-01,1.708,
2012-04,1.672,
2012-07,1.631,
2012-10,1.518,
2013-01,1.450,
2013-04,1.355,
2013-07,1.299,
2013-10,1.236,
2014-01,1.133,
2014-04,1.089,
2014-07,1.016,
