"",BBK01.OECB20G,BBK01.OECB20G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:50,
2002-01,5.572,
2002-04,5.557,
2002-07,5.534,
2002-10,5.469,
2003-01,5.431,
2003-04,5.386,
2003-07,5.440,
2003-10,5.405,
2004-01,5.385,
2004-04,5.404,
2004-07,5.429,
2004-10,5.518,
2005-01,7.671,
2005-04,7.758,
2005-07,7.901,
2005-10,7.929,
2006-01,8.027,
2006-04,8.094,
2006-07,8.179,
2006-10,8.274,
2007-01,8.299,
2007-04,8.526,
2007-07,8.565,
2007-10,8.566,
2008-01,8.588,
2008-04,8.636,
2008-07,8.668,
2008-10,8.633,
2009-01,8.606,
2009-04,10.631,
2009-07,10.567,
2009-10,10.463,
2010-01,10.405,
2010-04,10.414,
2010-07,10.380,
2010-10,10.084,
2011-01,10.448,
2011-04,10.332,
2011-07,10.253,
2011-10,10.280,
2012-01,10.237,
2012-04,10.206,
2012-07,10.217,
2012-10,10.212,
2013-01,10.252,
2013-04,10.203,
2013-07,10.203,
2013-10,10.204,
2014-01,10.224,
2014-04,10.298,
2014-07,10.423,
