"",BBFN1.M.DE.N.1.A.AT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:03,
1975-12,0.085,
1976-01,0.084,
1976-02,0.084,
1976-03,0.079,
1976-04,0.077,
1976-05,0.080,
1976-06,0.082,
1976-07,0.088,
1976-08,0.085,
1976-09,0.092,
1976-10,0.087,
1976-11,0.099,
1976-12,0.098,
1977-01,0.099,
1977-02,0.098,
1977-03,0.071,
1977-04,0.085,
1977-05,0.087,
1977-06,0.092,
1977-07,0.090,
1977-08,0.090,
1977-09,0.085,
1977-10,0.099,
1977-11,0.101,
1977-12,0.104,
1978-01,0.110,
1978-02,0.107,
1978-03,0.106,
1978-04,0.100,
1978-05,0.110,
1978-06,0.121,
1978-07,0.107,
1978-08,0.107,
1978-09,0.102,
1978-10,0.106,
1978-11,0.112,
1978-12,0.120,
1979-01,0.125,
1979-02,0.131,
1979-03,0.124,
1979-04,0.135,
1979-05,0.137,
1979-06,0.138,
1979-07,0.120,
1979-08,0.118,
1979-09,0.120,
1979-10,0.124,
1979-11,0.122,
1979-12,0.126,
1980-01,0.111,
1980-02,0.109,
1980-03,0.111,
1980-04,0.120,
1980-05,0.119,
1980-06,0.119,
1980-07,0.134,
1980-08,0.161,
1980-09,0.154,
1980-10,0.146,
1980-11,0.154,
1980-12,0.145,
1981-01,0.129,
1981-02,0.141,
1981-03,0.143,
1981-04,0.133,
1981-05,0.149,
1981-06,0.156,
1981-07,0.156,
1981-08,0.167,
1981-09,0.172,
1981-10,0.168,
1981-11,0.165,
1981-12,0.164,
1982-01,0.159,
1982-02,0.163,
1982-03,0.158,
1982-04,0.160,
1982-05,0.164,
1982-06,0.146,
1982-07,0.162,
1982-08,0.162,
1982-09,0.161,
1982-10,0.159,
1982-11,0.207,
1982-12,0.194,
1983-01,0.191,
1983-02,0.201,
1983-03,0.208,
1983-04,0.201,
1983-05,0.209,
1983-06,0.200,
1983-07,0.212,
1983-08,0.207,
1983-09,0.214,
1983-10,0.212,
1983-11,0.201,
1983-12,0.205,
1984-01,0.204,
1984-02,0.225,
1984-03,0.230,
1984-04,0.229,
1984-05,0.254,
1984-06,0.270,
1984-07,0.244,
1984-08,0.267,
1984-09,0.232,
1984-10,0.214,
1984-11,0.215,
1984-12,0.214,
1985-01,0.237,
1985-02,0.211,
1985-03,0.220,
1985-04,0.244,
1985-05,0.268,
1985-06,0.255,
1985-07,0.250,
1985-08,0.283,
1985-09,0.247,
1985-10,0.259,
1985-11,0.260,
1985-12,0.252,
1986-01,0.287,
1986-02,0.282,
1986-03,0.311,
1986-04,0.332,
1986-05,0.344,
1986-06,0.360,
1986-07,0.303,
1986-08,0.315,
1986-09,0.275,
1986-10,0.335,
1986-11,0.316,
1986-12,0.309,
1987-01,0.301,
1987-02,0.300,
1987-03,0.276,
1987-04,0.314,
1987-05,0.312,
1987-06,0.315,
1987-07,0.312,
1987-08,0.328,
1987-09,0.326,
1987-10,0.349,
1987-11,0.488,
1987-12,0.497,
1988-01,0.347,
1988-02,0.369,
1988-03,0.426,
1988-04,0.435,
1988-05,0.434,
1988-06,0.405,
1988-07,0.434,
1988-08,0.465,
1988-09,0.508,
1988-10,0.484,
1988-11,0.467,
1988-12,0.417,
1989-01,0.438,
1989-02,0.410,
1989-03,0.411,
1989-04,0.470,
1989-05,0.525,
1989-06,0.469,
1989-07,0.551,
1989-08,0.541,
1989-09,0.550,
1989-10,0.555,
1989-11,0.605,
1989-12,0.544,
1990-01,0.480,
1990-02,0.527,
1990-03,0.525,
1990-04,0.552,
1990-05,0.622,
1990-06,0.584,
1990-07,0.738,
1990-08,0.763,
1990-09,0.840,
1990-10,0.759,
1990-11,0.760,
1990-12,0.620,
1991-01,0.765,
1991-02,0.879,
1991-03,1.008,
1991-04,1.075,
1991-05,1.277,
1991-06,1.243,
1991-07,1.482,
1991-08,1.371,
1991-09,1.321,
1991-10,1.468,
1991-11,1.387,
1991-12,0.683,
1992-01,0.676,
1992-02,0.652,
1992-03,0.731,
1992-04,0.843,
1992-05,0.847,
1992-06,0.921,
1992-07,1.141,
1992-08,1.188,
1992-09,1.235,
1992-10,1.240,
1992-11,1.111,
1992-12,0.813,
1993-01,0.796,
1993-02,0.813,
1993-03,0.850,
1993-04,0.971,
1993-05,1.035,
1993-06,1.145,
1993-07,0.990,
1993-08,1.023,
1993-09,1.141,
1993-10,1.249,
1993-11,1.183,
1993-12,1.124,
1994-01,1.136,
1994-02,1.220,
1994-03,1.341,
1994-04,1.250,
1994-05,1.213,
1994-06,1.354,
1994-07,1.334,
1994-08,1.385,
1994-09,1.338,
1994-10,1.257,
1994-11,1.206,
1994-12,1.079,
1995-01,1.111,
1995-02,1.138,
1995-03,1.283,
1995-04,1.296,
1995-05,1.238,
1995-06,1.273,
1995-07,1.231,
1995-08,1.203,
1995-09,1.218,
1995-10,1.393,
1995-11,1.232,
1995-12,1.141,
1996-01,0.940,
1996-02,0.993,
1996-03,1.047,
1996-04,1.070,
1996-05,1.089,
1996-06,1.091,
1996-07,1.082,
1996-08,1.083,
1996-09,1.321,
1996-10,1.582,
1996-11,1.622,
1996-12,1.595,
1997-01,1.485,
1997-02,1.606,
1997-03,1.732,
1997-04,1.628,
1997-05,1.670,
1997-06,1.723,
1997-07,1.656,
1997-08,1.615,
1997-09,1.880,
1997-10,1.863,
1997-11,1.865,
1997-12,1.962,
1998-01,1.981,
1998-02,1.737,
1998-03,1.664,
1998-04,1.461,
1998-05,1.529,
1998-06,1.486,
1998-07,1.544,
1998-08,1.519,
1998-09,1.758,
1998-10,1.777,
1998-11,1.725,
1998-12,1.839,
1999-01,1.656,
1999-02,1.695,
1999-03,1.718,
1999-04,1.453,
1999-05,1.402,
1999-06,1.555,
1999-07,1.505,
1999-08,1.759,
1999-09,1.738,
1999-10,1.832,
1999-11,1.857,
1999-12,1.813,
2000-01,1.961,
2000-02,1.940,
2000-03,2.373,
2000-04,2.400,
2000-05,2.529,
2000-06,2.484,
2000-07,2.331,
2000-08,2.843,
2000-09,2.844,
2000-10,2.756,
2000-11,3.029,
2000-12,2.421,
2001-01,2.484,
2001-02,2.513,
2001-03,2.492,
2001-04,2.458,
2001-05,2.358,
2001-06,2.509,
2001-07,2.480,
2001-08,2.552,
2001-09,3.011,
2001-10,3.041,
2001-11,2.910,
2001-12,2.296,
2002-01,2.353,
2002-02,2.414,
2002-03,2.318,
2002-04,2.370,
2002-05,2.749,
2002-06,2.351,
2002-07,2.462,
2002-08,2.320,
2002-09,2.585,
2002-10,2.502,
2002-11,2.436,
2002-12,2.712,
2003-01,2.294,
2003-02,2.153,
2003-03,2.901,
2003-04,2.605,
2003-05,2.681,
2003-06,2.690,
2003-07,2.597,
2003-08,2.663,
2003-09,2.829,
2003-10,2.141,
2003-11,2.237,
2003-12,2.096,
2004-01,2.279,
2004-02,2.282,
2004-03,2.339,
2004-04,2.445,
2004-05,2.557,
2004-06,2.414,
2004-07,2.477,
2004-08,2.350,
2004-09,2.565,
2004-10,2.492,
2004-11,2.524,
2004-12,2.783,
2005-01,2.763,
2005-02,2.868,
2005-03,3.108,
2005-04,3.041,
2005-05,3.137,
2005-06,2.813,
2005-07,2.898,
2005-08,3.010,
2005-09,2.931,
2005-10,3.122,
2005-11,3.070,
2005-12,3.016,
2006-01,2.852,
2006-02,4.062,
2006-03,3.973,
2006-04,3.375,
2006-05,3.410,
2006-06,3.217,
2006-07,3.248,
2006-08,3.333,
2006-09,3.251,
2006-10,3.142,
2006-11,3.464,
2006-12,2.965,
2007-01,2.440,
2007-02,2.931,
2007-03,2.819,
2007-04,2.989,
2007-05,2.868,
2007-06,2.967,
2007-07,2.946,
2007-08,2.904,
2007-09,3.020,
2007-10,3.094,
2007-11,3.184,
2007-12,3.316,
2008-01,2.664,
2008-02,3.217,
2008-03,3.158,
2008-04,3.261,
2008-05,3.253,
2008-06,3.337,
2008-07,3.358,
2008-08,3.945,
2008-09,4.078,
2008-10,4.073,
2008-11,4.693,
2008-12,5.030,
2009-01,5.795,
2009-02,5.327,
2009-03,4.988,
2009-04,4.884,
2009-05,5.115,
2009-06,4.956,
2009-07,4.336,
2009-08,5.305,
2009-09,5.276,
2009-10,6.096,
2009-11,6.418,
2009-12,5.327,
2010-01,4.975,
2010-02,4.943,
2010-03,3.968,
2010-04,4.381,
2010-05,4.219,
2010-06,3.804,
2010-07,4.005,
2010-08,4.111,
2010-09,4.213,
2010-10,4.186,
2010-11,4.351,
2010-12,5.750,
2011-01,6.764,
2011-02,7.011,
2011-03,7.643,
2011-04,7.459,
2011-05,8.403,
2011-06,9.493,
2011-07,9.219,
2011-08,9.533,
2011-09,9.584,
2011-10,11.284,
2011-11,11.957,
2011-12,9.656,
2012-01,10.231,
2012-02,12.113,
2012-03,10.546,
2012-04,11.049,
2012-05,11.751,
2012-06,11.970,
2012-07,12.350,
2012-08,11.676,
2012-09,12.732,
2012-10,12.565,
2012-11,13.678,
2012-12,9.737,
2013-01,9.620,
2013-02,11.785,
2013-03,11.192,
2013-04,10.125,
2013-05,9.476,
2013-06,10.228,
2013-07,9.837,
2013-08,10.998,
2013-09,13.093,
2013-10,12.173,
2013-11,10.435,
2013-12,11.617,
2014-01,10.315,
2014-02,11.594,
2014-03,11.380,
2014-04,10.573,
2014-05,10.516,
2014-06,11.434,
2014-07,11.936,
2014-08,16.942,
2014-09,12.964,
2014-10,14.954,
2014-11,15.438,
2014-12,12.154,
