"",BBSF2.M.1.S.I1250.IMM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.IMM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Net asset value / Insurance corporations / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:00,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,474,
1993-05,476,
1993-06,477,
1993-07,531,
1993-08,565,
1993-09,582,
1993-10,571,
1993-11,578,
1993-12,592,
1994-01,618,
1994-02,622,
1994-03,623,
1994-04,576,
1994-05,578,
1994-06,575,
1994-07,577,
1994-08,577,
1994-09,579,
1994-10,583,
1994-11,576,
1994-12,577,
1995-01,583,
1995-02,586,
1995-03,589,
1995-04,845,
1995-05,858,
1995-06,878,
1995-07,879,
1995-08,919,
1995-09,933,
1995-10,943,
1995-11,944,
1995-12,980,
1996-01,995,
1996-02,1001,
1996-03,992,
1996-04,1004,
1996-05,1021,
1996-06,1024,
1996-07,1028,
1996-08,1031,
1996-09,1045,
1996-10,1058,
1996-11,1051,
1996-12,1039,
1997-01,1040,
1997-02,1052,
1997-03,1043,
1997-04,1079,
1997-05,1082,
1997-06,1168,
1997-07,1181,
1997-08,1191,
1997-09,1209,
1997-10,1229,
1997-11,1224,
1997-12,1275,
1998-01,1474,
1998-02,1476,
1998-03,1477,
1998-04,1562,
1998-05,1578,
1998-06,1639,
1998-07,1651,
1998-08,1648,
1998-09,1680,
1998-10,1693,
1998-11,1717,
1998-12,1902,
1999-01,2017,
1999-02,2033,
1999-03,2028,
1999-04,2056,
1999-05,2093,
1999-06,2108,
1999-07,2155,
1999-08,2184,
1999-09,2483,
1999-10,2725,
1999-11,2884,
1999-12,3156,
2000-01,3250,
2000-02,3228,
2000-03,3254,
2000-04,3573,
2000-05,3824,
2000-06,3878,
2000-07,4002,
2000-08,4046,
2000-09,4071,
2000-10,4238,
2000-11,4447,
2000-12,4602,
2001-01,4746,
2001-02,4850,
2001-03,4844,
2001-04,5066,
2001-05,5137,
2001-06,5219,
2001-07,5317,
2001-08,5478,
2001-09,5636,
2001-10,5753,
2001-11,6029,
2001-12,6528,
2002-01,6645,
2002-02,6809,
2002-03,6957,
2002-04,7028,
2002-05,7205,
2002-06,7300,
2002-07,7566,
2002-08,8003,
2002-09,8216,
2002-10,8351,
2002-11,8474,
2002-12,9166,
2003-01,9303,
2003-02,9344,
2003-03,9423,
2003-04,9543,
2003-05,9669,
2003-06,9979,
2003-07,10029,
2003-08,10112,
2003-09,10261,
2003-10,10314,
2003-11,10373,
2003-12,10699,
2004-01,10609,
2004-02,10012,
2004-03,10092,
2004-04,10116,
2004-05,10078,
2004-06,10207,
2004-07,10365,
2004-08,10391,
2004-09,10432,
2004-10,10458,
2004-11,10550,
2004-12,10822,
2005-01,10866,
2005-02,10912,
2005-03,11497,
2005-04,11917,
2005-05,12165,
2005-06,12326,
2005-07,12268,
2005-08,11991,
2005-09,11516,
2005-10,11473,
2005-11,11504,
2005-12,11500,
2006-01,11613,
2006-02,11670,
2006-03,11758,
2006-04,11836,
2006-05,11938,
2006-06,12094,
2006-07,11597,
2006-08,11595,
2006-09,11779,
2006-10,11805,
2006-11,11826,
2006-12,11913,
2007-01,11984,
2007-02,11978,
2007-03,11557,
2007-04,11608,
2007-05,11569,
2007-06,11646,
2007-07,11711,
2007-08,11868,
2007-09,11878,
2007-10,11994,
2007-11,12208,
2007-12,12155,
2008-01,12211,
2008-02,12294,
2008-03,12310,
2008-04,12352,
2008-05,12498,
2008-06,12606,
2008-07,12573,
2008-08,12702,
2008-09,12819,
2008-10,12946,
2008-11,13559,
2008-12,13389,
2009-01,13375,
2009-02,13466,
2009-03,13450,
2009-04,13504,
2009-05,13693,
2009-06,13717,
2009-07,13747,
2009-08,13450,
2009-09,13801,
2009-10,13789,
2009-11,13920,
2009-12,13729,
2010-01,13824,
2010-02,13825,
2010-03,13811,
2010-04,13763,
2010-05,13836,
2010-06,13848,
2010-07,13885,
2010-08,14023,
2010-09,14089,
2010-10,14120,
2010-11,14253,
2010-12,14217,
2011-01,14247,
2011-02,14341,
2011-03,14411,
2011-04,14427,
2011-05,14559,
2011-06,14562,
2011-07,14600,
2011-08,14536,
2011-09,14282,
2011-10,14341,
2011-11,14033,
2011-12,13836,
2012-01,13909,
2012-02,13922,
2012-03,13967,
2012-04,14023,
2012-05,14035,
2012-06,14168,
2012-07,14223,
2012-08,14230,
2012-09,14249,
2012-10,14386,
2012-11,14395,
2012-12,14274,
2013-01,14390,
2013-02,14469,
2013-03,14763,
2013-04,14745,
2013-05,14385,
2013-06,14547,
2013-07,14750,
2013-08,14891,
2013-09,14808,
2013-10,14878,
2013-11,15000,
2013-12,14925,
2014-01,14980,
2014-02,14971,
2014-03,15046,
2014-04,15059,
2014-05,14958,
2014-06,15192,
2014-07,15221,
2014-08,15110,
2014-09,15080,
2014-10,15350,
2014-11,15415,
