"",BBK01.OEAH33K,BBK01.OEAH33K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:41,
2002-01,26.589,
2002-04,26.828,
2002-07,27.823,
2002-10,28.121,
2003-01,28.853,
2003-04,29.325,
2003-07,29.612,
2003-10,29.471,
2004-01,29.977,
2004-04,31.308,
2004-07,30.709,
2004-10,22.981,
2005-01,23.068,
2005-04,23.324,
2005-07,24.159,
2005-10,24.883,
2006-01,25.461,
2006-04,27.184,
2006-07,34.668,
2006-10,32.755,
2007-01,33.071,
2007-04,33.942,
2007-07,34.559,
2007-10,34.487,
2008-01,34.391,
2008-04,34.272,
2008-07,34.202,
2008-10,34.517,
2009-01,32.970,
2009-04,33.051,
2009-07,32.751,
2009-10,31.928,
2010-01,31.588,
2010-04,31.434,
2010-07,31.297,
2010-10,30.851,
2011-01,30.278,
2011-04,29.562,
2011-07,22.788,
2011-10,22.864,
2012-01,21.937,
2012-04,22.151,
2012-07,21.973,
2012-10,21.625,
2013-01,21.487,
2013-04,21.409,
2013-07,21.282,
2013-10,20.744,
2014-01,20.035,
2014-04,20.423,
2014-07,18.860,
