"",BBDE1.M.DE.Y.AEB5.N2C240000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.N2C240000.F.C.I10.A_FLAGS
"",Orders received from abroad / At constant prices / Germany / 24 Manufacture of basic metals / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:25,
1991-01,68.4,
1991-02,67.7,
1991-03,70.7,
1991-04,66.2,
1991-05,63.9,
1991-06,64.5,
1991-07,66.4,
1991-08,71.6,
1991-09,68.5,
1991-10,68.5,
1991-11,69.5,
1991-12,67.8,
1992-01,69.0,
1992-02,67.0,
1992-03,69.7,
1992-04,70.2,
1992-05,67.8,
1992-06,67.6,
1992-07,65.6,
1992-08,67.5,
1992-09,63.7,
1992-10,58.4,
1992-11,61.4,
1992-12,62.9,
1993-01,67.2,
1993-02,64.1,
1993-03,61.8,
1993-04,69.5,
1993-05,67.3,
1993-06,73.6,
1993-07,70.6,
1993-08,63.5,
1993-09,67.8,
1993-10,67.8,
1993-11,67.8,
1993-12,71.0,
1994-01,72.2,
1994-02,75.0,
1994-03,78.9,
1994-04,77.6,
1994-05,81.7,
1994-06,79.8,
1994-07,73.6,
1994-08,72.8,
1994-09,76.0,
1994-10,80.7,
1994-11,84.1,
1994-12,82.7,
1995-01,74.3,
1995-02,78.0,
1995-03,80.1,
1995-04,72.4,
1995-05,71.9,
1995-06,70.1,
1995-07,72.1,
1995-08,69.0,
1995-09,70.5,
1995-10,72.4,
1995-11,69.2,
1995-12,72.2,
1996-01,71.2,
1996-02,79.4,
1996-03,77.8,
1996-04,77.3,
1996-05,74.6,
1996-06,79.6,
1996-07,82.7,
1996-08,84.8,
1996-09,82.9,
1996-10,89.4,
1996-11,87.1,
1996-12,82.8,
1997-01,89.1,
1997-02,100.3,
1997-03,86.2,
1997-04,89.6,
1997-05,85.1,
1997-06,92.9,
1997-07,93.0,
1997-08,91.7,
1997-09,93.6,
1997-10,98.7,
1997-11,95.7,
1997-12,90.6,
1998-01,91.8,
1998-02,87.5,
1998-03,86.6,
1998-04,82.9,
1998-05,83.6,
1998-06,93.8,
1998-07,77.0,
1998-08,76.2,
1998-09,83.1,
1998-10,77.0,
1998-11,79.2,
1998-12,75.9,
1999-01,81.9,
1999-02,78.5,
1999-03,84.0,
1999-04,83.0,
1999-05,86.6,
1999-06,90.7,
1999-07,86.8,
1999-08,98.1,
1999-09,97.7,
1999-10,96.8,
1999-11,97.5,
1999-12,104.8,
2000-01,87.9,
2000-02,90.9,
2000-03,98.5,
2000-04,92.9,
2000-05,93.8,
2000-06,93.3,
2000-07,94.3,
2000-08,98.5,
2000-09,89.1,
2000-10,102.0,
2000-11,88.6,
2000-12,99.4,
2001-01,88.5,
2001-02,86.4,
2001-03,87.7,
2001-04,87.7,
2001-05,93.7,
2001-06,90.5,
2001-07,93.0,
2001-08,94.7,
2001-09,91.8,
2001-10,91.3,
2001-11,87.4,
2001-12,91.2,
2002-01,91.4,
2002-02,97.5,
2002-03,90.0,
2002-04,99.6,
2002-05,99.4,
2002-06,103.6,
2002-07,98.4,
2002-08,98.1,
2002-09,98.6,
2002-10,99.3,
2002-11,97.1,
2002-12,93.9,
2003-01,96.7,
2003-02,94.9,
2003-03,95.9,
2003-04,94.3,
2003-05,95.5,
2003-06,94.4,
2003-07,98.8,
2003-08,94.3,
2003-09,98.2,
2003-10,103.2,
2003-11,109.0,
2003-12,127.9,
2004-01,111.1,
2004-02,108.6,
2004-03,106.3,
2004-04,109.0,
2004-05,110.2,
2004-06,103.3,
2004-07,102.4,
2004-08,105.0,
2004-09,106.1,
2004-10,93.4,
2004-11,93.3,
2004-12,96.7,
2005-01,94.5,
2005-02,95.9,
2005-03,96.0,
2005-04,97.7,
2005-05,99.9,
2005-06,102.3,
2005-07,125.8,
2005-08,107.4,
2005-09,114.3,
2005-10,113.7,
2005-11,115.5,
2005-12,114.8,
2006-01,109.1,
2006-02,119.0,
2006-03,114.8,
2006-04,115.9,
2006-05,118.1,
2006-06,121.4,
2006-07,125.0,
2006-08,118.7,
2006-09,115.2,
2006-10,113.0,
2006-11,115.4,
2006-12,112.1,
2007-01,112.7,
2007-02,108.5,
2007-03,119.4,
2007-04,110.1,
2007-05,116.1,
2007-06,110.2,
2007-07,109.0,
2007-08,113.5,
2007-09,120.2,
2007-10,121.5,
2007-11,121.0,
2007-12,124.4,
2008-01,117.4,
2008-02,117.2,
2008-03,112.8,
2008-04,117.6,
2008-05,124.7,
2008-06,111.0,
2008-07,107.7,
2008-08,107.7,
2008-09,102.8,
2008-10,94.3,
2008-11,79.9,
2008-12,77.0,
2009-01,63.1,
2009-02,64.0,
2009-03,58.8,
2009-04,73.3,
2009-05,83.1,
2009-06,93.1,
2009-07,90.5,
2009-08,95.3,
2009-09,93.2,
2009-10,85.8,
2009-11,92.3,
2009-12,88.1,
2010-01,94.4,
2010-02,101.2,
2010-03,102.3,
2010-04,103.0,
2010-05,97.9,
2010-06,98.4,
2010-07,100.7,
2010-08,97.2,
2010-09,100.6,
2010-10,99.6,
2010-11,100.8,
2010-12,98.5,
2011-01,110.3,
2011-02,103.2,
2011-03,108.2,
2011-04,99.2,
2011-05,103.9,
2011-06,106.5,
2011-07,98.6,
2011-08,109.5,
2011-09,99.9,
2011-10,105.4,
2011-11,92.7,
2011-12,108.9,
2012-01,100.4,
2012-02,113.0,
2012-03,97.2,
2012-04,91.1,
2012-05,99.2,
2012-06,104.2,
2012-07,99.8,
2012-08,106.3,
2012-09,90.3,
2012-10,100.2,
2012-11,96.2,
2012-12,106.3,
2013-01,86.7,
2013-02,95.2,
2013-03,96.3,
2013-04,99.0,
2013-05,99.7,
2013-06,99.2,
2013-07,101.0,
2013-08,103.5,
2013-09,99.7,
2013-10,102.4,
2013-11,97.4,
2013-12,97.1,
2014-01,95.4,
2014-02,101.4,
2014-03,115.0,
2014-04,102.8,
2014-05,100.5,
2014-06,98.9,
2014-07,100.1,
2014-08,101.0,
2014-09,118.9,
2014-10,117.5,
2014-11,99.7,
2014-12,110.0,Provisional value
