"",BBSF2.M.1.S.00000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net asset value,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:18,
1968-12,75,
1969-01,77,
1969-02,85,
1969-03,92,
1969-04,103,
1969-05,135,
1969-06,168,
1969-07,215,
1969-08,231,
1969-09,236,
1969-10,290,
1969-11,323,
1969-12,362,
1970-01,385,
1970-02,381,
1970-03,389,
1970-04,379,
1970-05,367,
1970-06,367,
1970-07,389,
1970-08,409,
1970-09,414,
1970-10,420,
1970-11,429,
1970-12,455,
1971-01,485,
1971-02,493,
1971-03,523,
1971-04,505,
1971-05,507,
1971-06,515,
1971-07,525,
1971-08,523,
1971-09,526,
1971-10,528,
1971-11,534,
1971-12,585,
1972-01,637,
1972-02,683,
1972-03,706,
1972-04,707,
1972-05,753,
1972-06,799,
1972-07,836,
1972-08,851,
1972-09,846,
1972-10,849,
1972-11,865,
1972-12,905,
1973-01,970,
1973-02,969,
1973-03,1009,
1973-04,1000,
1973-05,969,
1973-06,978,
1973-07,992,
1973-08,1020,
1973-09,1037,
1973-10,1085,
1973-11,1071,
1973-12,1086,
1974-01,1127,
1974-02,1102,
1974-03,1112,
1974-04,1140,
1974-05,1162,
1974-06,1167,
1974-07,1210,
1974-08,1238,
1974-09,1224,
1974-10,1264,
1974-11,1319,
1974-12,1467,
1975-01,1691,
1975-02,1816,
1975-03,1850,
1975-04,1927,
1975-05,1955,
1975-06,2019,
1975-07,2124,
1975-08,2113,
1975-09,2126,
1975-10,2241,
1975-11,2342,
1975-12,2479,
1976-01,2611,
1976-02,2656,
1976-03,2783,
1976-04,2758,
1976-05,2823,
1976-06,2886,
1976-07,2896,
1976-08,2939,
1976-09,2980,
1976-10,2947,
1976-11,3052,
1976-12,3152,
1977-01,3235,
1977-02,3242,
1977-03,3423,
1977-04,3616,
1977-05,3662,
1977-06,3709,
1977-07,3812,
1977-08,3936,
1977-09,4002,
1977-10,4139,
1977-11,4259,
1977-12,4386,
1978-01,4531,
1978-02,4644,
1978-03,4752,
1978-04,4815,
1978-05,4946,
1978-06,5115,
1978-07,5206,
1978-08,5307,
1978-09,5475,
1978-10,5455,
1978-11,5450,
1978-12,5497,
1979-01,5675,
1979-02,5679,
1979-03,5757,
1979-04,5825,
1979-05,5753,
1979-06,5809,
1979-07,6003,
1979-08,6136,
1979-09,6201,
1979-10,6080,
1979-11,6162,
1979-12,6284,
1980-01,6408,
1980-02,6431,
1980-03,6281,
1980-04,6564,
1980-05,6802,
1980-06,7053,
1980-07,7337,
1980-08,7344,
1980-09,7322,
1980-10,7316,
1980-11,7321,
1980-12,7320,
1981-01,7355,
1981-02,7260,
1981-03,7432,
1981-04,7622,
1981-05,7605,
1981-06,7920,
1981-07,8054,
1981-08,8040,
1981-09,8078,
1981-10,8227,
1981-11,8559,
1981-12,8626,
1982-01,8820,
1982-02,9021,
1982-03,9433,
1982-04,9683,
1982-05,9753,
1982-06,9724,
1982-07,9940,
1982-08,10252,
1982-09,10568,
1982-10,11041,
1982-11,11082,
1982-12,11469,
1983-01,11688,
1983-02,12048,
1983-03,12662,
1983-04,13046,
1983-05,12906,
1983-06,13227,
1983-07,13526,
1983-08,13398,
1983-09,13595,
1983-10,13917,
1983-11,14047,
1983-12,14264,
1984-01,14767,
1984-02,14733,
1984-03,14934,
1984-04,15165,
1984-05,14997,
1984-06,15289,
1984-07,15302,
1984-08,15828,
1984-09,16389,
1984-10,16827,
1984-11,17033,
1984-12,17250,
1985-01,17782,
1985-02,18126,
1985-03,18394,
1985-04,18945,
1985-05,19902,
1985-06,20494,
1985-07,20603,
1985-08,21321,
1985-09,21853,
1985-10,22741,
1985-11,22965,
1985-12,24242,
1986-01,24765,
1986-02,25204,
1986-03,26944,
1986-04,27945,
1986-05,27456,
1986-06,27691,
1986-07,27607,
1986-08,29404,
1986-09,28777,
1986-10,29212,
1986-11,29830,
1986-12,30513,
1987-01,30099,
1987-02,30391,
1987-03,32003,
1987-04,32824,
1987-05,33673,
1987-06,34758,
1987-07,36100,
1987-08,36701,
1987-09,36879,
1987-10,34140,
1987-11,33833,
1987-12,34461,
1988-01,34502,
1988-02,36363,
1988-03,36973,
1988-04,37767,
1988-05,38114,
1988-06,39418,
1988-07,40521,
1988-08,40866,
1988-09,42253,
1988-10,43221,
1988-11,42994,
1988-12,43994,
1989-01,45216,
1989-02,44931,
1989-03,45884,
1989-04,47374,
1989-05,48272,
1989-06,49924,
1989-07,51540,
1989-08,52857,
1989-09,53131,
1989-10,52474,
1989-11,53279,
1989-12,55093,
1990-01,55948,
1990-02,55961,
1990-03,56672,
1990-04,56273,
1990-05,57533,
1990-06,58586,
1990-07,59854,
1990-08,57583,
1990-09,55259,
1990-10,57028,
1990-11,57344,
1990-12,57366,
1991-01,58554,
1991-02,61503,
1991-03,63016,
1991-04,64813,
1991-05,67219,
1991-06,66995,
1991-07,68399,
1991-08,69879,
1991-09,70527,
1991-10,71246,
1991-11,71345,
1991-12,71577,
1992-01,75222,
1992-02,77310,
1992-03,77471,
1992-04,78869,
1992-05,80845,
1992-06,80403,
1992-07,80316,
1992-08,79785,
1992-09,80920,
1992-10,82931,
1992-11,84006,
