"",BBK01.OEAD09K,BBK01.OEAD09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:34,
2002-01,0.256,
2002-04,0.255,
2002-07,0.265,
2002-10,0.215,
2003-01,0.198,
2003-04,0.192,
2003-07,0.185,
2003-10,0.166,
2004-01,0.145,
2004-04,0.158,
2004-07,0.151,
2004-10,0.135,
2005-01,0.143,
2005-04,0.149,
2005-07,0.148,
2005-10,0.150,
2006-01,0.149,
2006-04,0.162,
2006-07,0.158,
2006-10,0.170,
2007-01,0.147,
2007-04,0.202,
2007-07,0.176,
2007-10,0.173,
2008-01,0.193,
2008-04,0.200,
2008-07,0.132,
2008-10,0.144,
2009-01,0.194,
2009-04,0.110,
2009-07,0.094,
2009-10,0.078,
2010-01,0.088,
2010-04,0.095,
2010-07,0.092,
2010-10,0.091,
2011-01,0.098,
2011-04,0.106,
2011-07,0.121,
2011-10,0.101,
2012-01,0.150,
2012-04,0.141,
2012-07,0.166,
2012-10,0.161,
2013-01,0.181,
2013-04,0.137,
2013-07,0.131,
2013-10,0.117,
2014-01,0.116,
2014-04,0.179,
2014-07,0.182,
