"",BBK01.OECK04N,BBK01.OECK04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:59,
2002-01,1.567,
2002-04,1.594,
2002-07,1.619,
2002-10,1.726,
2003-01,1.641,
2003-04,1.535,
2003-07,1.486,
2003-10,1.321,
2004-01,1.242,
2004-04,1.200,
2004-07,1.101,
2004-10,1.181,
2005-01,1.101,
2005-04,1.060,
2005-07,1.106,
2005-10,1.193,
2006-01,1.213,
2006-04,1.299,
2006-07,1.326,
2006-10,1.407,
2007-01,1.480,
2007-04,1.563,
2007-07,1.780,
2007-10,2.024,
2008-01,2.082,
2008-04,2.153,
2008-07,2.242,
2008-10,2.164,
2009-01,1.579,
2009-04,1.287,
2009-07,1.078,
2009-10,0.900,
2010-01,0.695,
2010-04,0.619,
2010-07,0.541,
2010-10,0.544,
2011-01,0.734,
2011-04,0.812,
2011-07,0.802,
2011-10,0.885,
2012-01,0.837,
2012-04,0.806,
2012-07,0.719,
2012-10,0.676,
2013-01,0.600,
2013-04,0.612,
2013-07,0.603,
2013-10,0.604,
2014-01,0.665,
2014-04,0.723,
2014-07,0.714,
