"",BBFN1.M.DE.N.1.A.G9.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.G9.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign banks arising from financial operations / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:20,
1995-01,0.033,
1995-02,0.034,
1995-03,0.028,
1995-04,0.027,
1995-05,0.029,
1995-06,0.033,
1995-07,0.040,
1995-08,0.040,
1995-09,0.041,
1995-10,0.039,
1995-11,0.046,
1995-12,0.050,
1996-01,0.054,
1996-02,0.054,
1996-03,0.055,
1996-04,0.049,
1996-05,0.049,
1996-06,0.048,
1996-07,0.039,
1996-08,0.039,
1996-09,0.045,
1996-10,0.052,
1996-11,0.052,
1996-12,0.053,
1997-01,0.056,
1997-02,0.061,
1997-03,0.073,
1997-04,0.081,
1997-05,0.076,
1997-06,0.080,
1997-07,0.085,
1997-08,0.080,
1997-09,0.072,
1997-10,0.072,
1997-11,0.065,
1997-12,0.076,
1998-01,0.078,
1998-02,0.075,
1998-03,0.087,
1998-04,0.088,
1998-05,0.106,
1998-06,0.115,
1998-07,0.105,
1998-08,0.107,
1998-09,0.133,
1998-10,0.130,
1998-11,0.125,
1998-12,0.115,
1999-01,0.115,
1999-02,0.121,
1999-03,0.121,
1999-04,0.254,
1999-05,0.259,
1999-06,0.258,
1999-07,0.258,
1999-08,0.254,
1999-09,0.254,
1999-10,0.229,
1999-11,0.224,
1999-12,0.230,
2000-01,0.227,
2000-02,0.236,
2000-03,0.245,
2000-04,0.246,
2000-05,0.236,
2000-06,0.229,
2000-07,0.229,
2000-08,0.228,
2000-09,0.234,
2000-10,0.232,
2000-11,0.231,
2000-12,0.228,
2001-01,0.227,
2001-02,0.229,
2001-03,0.226,
2001-04,0.226,
2001-05,0.236,
2001-06,0.219,
2001-07,0.219,
2001-08,0.218,
2001-09,0.218,
2001-10,0.217,
2001-11,0.263,
2001-12,0.279,
2002-01,0.285,
2002-02,0.284,
2002-03,0.286,
2002-04,0.286,
2002-05,0.285,
2002-06,0.294,
2002-07,0.291,
2002-08,0.301,
2002-09,0.335,
2002-10,0.322,
2002-11,0.314,
2002-12,0.300,
2003-01,0.291,
2003-02,0.290,
2003-03,0.304,
2003-04,0.326,
2003-05,0.316,
2003-06,0.316,
2003-07,0.330,
2003-08,0.334,
2003-09,0.308,
2003-10,0.312,
2003-11,0.338,
2003-12,0.357,
2004-01,0.355,
2004-02,0.377,
2004-03,0.422,
2004-04,0.426,
2004-05,0.413,
2004-06,0.410,
2004-07,0.472,
2004-08,0.505,
2004-09,0.515,
2004-10,0.532,
2004-11,0.537,
2004-12,0.551,
2005-01,0.558,
2005-02,0.561,
2005-03,0.582,
2005-04,0.586,
2005-05,0.572,
2005-06,0.572,
2005-07,0.589,
2005-08,0.581,
2005-09,0.609,
2005-10,0.615,
2005-11,0.611,
2005-12,0.637,
2006-01,0.665,
2006-02,0.664,
2006-03,0.679,
2006-04,0.656,
2006-05,0.646,
2006-06,0.657,
2006-07,0.722,
2006-08,0.730,
2006-09,0.735,
2006-10,0.797,
2006-11,0.777,
2006-12,0.953,
2007-01,0.985,
2007-02,0.974,
2007-03,1.048,
2007-04,1.070,
2007-05,1.076,
2007-06,1.122,
2007-07,1.165,
2007-08,1.221,
2007-09,1.220,
2007-10,1.240,
2007-11,1.227,
2007-12,1.265,
2008-01,1.379,
2008-02,1.576,
2008-03,1.570,
2008-04,1.835,
2008-05,2.208,
2008-06,2.287,
2008-07,2.358,
2008-08,2.358,
2008-09,2.608,
2008-10,2.652,
2008-11,2.642,
2008-12,2.624,
2009-01,2.590,
2009-02,2.606,
2009-03,2.594,
2009-04,2.618,
2009-05,2.635,
2009-06,2.946,
2009-07,3.125,
2009-08,3.193,
2009-09,3.237,
2009-10,3.224,
2009-11,3.297,
2009-12,3.552,
2010-01,3.645,
2010-02,3.806,
2010-03,4.227,
2010-04,4.247,
2010-05,4.308,
2010-06,4.453,
2010-07,4.486,
2010-08,4.519,
2010-09,4.558,
2010-10,4.592,
2010-11,4.791,
2010-12,5.019,
2011-01,5.542,
2011-02,5.598,
2011-03,5.723,
2011-04,5.312,
2011-05,5.808,
2011-06,5.856,
2011-07,6.003,
2011-08,5.983,
2011-09,6.008,
2011-10,6.055,
2011-11,6.053,
2011-12,6.075,
2012-01,5.981,
2012-02,6.040,
2012-03,6.215,
2012-04,6.250,
2012-05,6.252,
2012-06,6.284,
2012-07,6.444,
2012-08,7.028,
2012-09,7.019,
2012-10,7.013,
2012-11,7.042,
2012-12,0.288,
2013-01,0.286,
2013-02,0.286,
2013-03,0.274,
2013-04,0.293,
2013-05,0.294,
2013-06,0.294,
2013-07,0.242,
2013-08,0.242,
2013-09,0.371,
2013-10,0.504,
2013-11,0.520,
2013-12,0.503,
2014-01,0.500,
2014-02,0.496,
2014-03,0.447,
2014-04,0.445,
2014-05,0.448,
2014-06,0.441,
2014-07,0.446,
2014-08,0.442,
2014-09,0.450,
2014-10,0.450,
2014-11,0.452,
2014-12,0.446,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
