"",BBK01.OEBO04K,BBK01.OEBO04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:32,
2002-01,-0.058,
2002-04,-0.367,
2002-07,-0.006,
2002-10,0.095,
2003-01,0.064,
2003-04,-0.052,
2003-07,0.044,
2003-10,-0.053,
2004-01,-0.064,
2004-04,-0.052,
2004-07,0.108,
2004-10,-0.059,
2005-01,-0.024,
2005-04,0.122,
2005-07,-0.046,
2005-10,-0.138,
2006-01,-0.108,
2006-04,-0.001,
2006-07,-0.087,
2006-10,-0.033,
2007-01,0.206,
2007-04,0.011,
2007-07,-0.012,
2007-10,0.092,
2008-01,0.106,
2008-04,0.096,
2008-07,-0.022,
2008-10,0.490,
2009-01,0.140,
2009-04,0.186,
2009-07,0.362,
2009-10,-0.244,
2010-01,-0.069,
2010-04,-0.079,
2010-07,0.006,
2010-10,0.126,
2011-01,0.018,
2011-04,-0.200,
2011-07,-0.107,
2011-10,-0.088,
2012-01,0.190,
2012-04,-0.075,
2012-07,0.268,
2012-10,-0.038,
2013-01,-0.343,
2013-04,-0.116,
2013-07,-0.125,
2013-10,-0.037,
2014-01,-0.097,
2014-04,-0.090,
2014-07,0.123,
