"",BBK01.OEAH78G,BBK01.OEAH78G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:34,
2002-01,0.241,
2002-04,0.240,
2002-07,0.235,
2002-10,0.230,
2003-01,0.205,
2003-04,0.209,
2003-07,0.209,
2003-10,0.173,
2004-01,0.143,
2004-04,0.156,
2004-07,0.200,
2004-10,0.165,
2005-01,0.159,
2005-04,0.153,
2005-07,0.149,
2005-10,0.166,
2006-01,0.142,
2006-04,0.142,
2006-07,0.155,
2006-10,0.171,
2007-01,0.147,
2007-04,0.155,
2007-07,0.152,
2007-10,0.158,
2008-01,0.144,
2008-04,0.153,
2008-07,0.152,
2008-10,0.171,
2009-01,0.197,
2009-04,0.195,
2009-07,0.211,
2009-10,0.201,
2010-01,0.183,
2010-04,0.178,
2010-07,0.169,
2010-10,0.171,
2011-01,0.170,
2011-04,0.182,
2011-07,0.180,
2011-10,0.221,
2012-01,0.175,
2012-04,0.174,
2012-07,0.182,
2012-10,0.196,
2013-01,0.189,
2013-04,0.203,
2013-07,0.213,
2013-10,0.212,
2014-01,0.204,
2014-04,0.190,
2014-07,0.171,
