"",BBK01.OEAD33M,BBK01.OEAD33M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:20,
2002-01,0.328,
2002-04,0.337,
2002-07,0.324,
2002-10,0.318,
2003-01,0.308,
2003-04,0.305,
2003-07,0.305,
2003-10,0.325,
2004-01,0.305,
2004-04,0.300,
2004-07,0.301,
2004-10,0.278,
2005-01,0.276,
2005-04,0.269,
2005-07,0.269,
2005-10,0.258,
2006-01,0.256,
2006-04,0.253,
2006-07,0.248,
2006-10,0.240,
2007-01,0.248,
2007-04,0.246,
2007-07,0.237,
2007-10,0.236,
2008-01,0.244,
2008-04,0.251,
2008-07,0.244,
2008-10,0.253,
2009-01,0.250,
2009-04,0.255,
2009-07,0.254,
2009-10,0.243,
2010-01,0.256,
2010-04,0.240,
2010-07,0.255,
2010-10,0.239,
2011-01,0.233,
2011-04,0.234,
2011-07,0.231,
2011-10,0.228,
2012-01,0.216,
2012-04,0.210,
2012-07,0.206,
2012-10,0.196,
2013-01,0.196,
2013-04,0.198,
2013-07,0.199,
2013-10,0.211,
2014-01,0.206,
2014-04,0.202,
2014-07,0.200,
