"",BBFB1.M.N.DE.W1.S1ZL.S1.T.LD.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1ZL.S1.T.LD.FA.P.F3.S._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Short-term debt-securities / Private issuers / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:25,
1991-01,2.179,
1991-02,2.865,
1991-03,0.146,
1991-04,49.722,
1991-05,18.506,
1991-06,153.947,
1991-07,277.765,
1991-08,250.847,
1991-09,178.280,
1991-10,254.931,
1991-11,463.941,
1991-12,356.879,
1992-01,468.175,
1992-02,554.048,
1992-03,509.625,
1992-04,659.504,
1992-05,261.528,
1992-06,1001.353,
1992-07,682.994,
1992-08,880.539,
1992-09,1087.938,
1992-10,969.486,
1992-11,2008.315,
1992-12,1628.465,
1993-01,1765.093,
1993-02,2565.933,
1993-03,1307.840,
1993-04,1061.867,
1993-05,1333.557,
1993-06,1277.673,
1993-07,940.711,
1993-08,1295.737,
1993-09,838.630,
1993-10,1140.047,
1993-11,930.290,
1993-12,1068.238,
1994-01,1205.772,
1994-02,739.659,
1994-03,689.243,
1994-04,631.650,
1994-05,1172.080,
1994-06,1356.748,
1994-07,1630.045,
1994-08,1618.766,
1994-09,2194.437,
1994-10,2082.304,
1994-11,2516.973,
1994-12,1739.327,
1995-01,1178.839,
1995-02,1339.675,
1995-03,1844.454,
1995-04,1660.731,
1995-05,1607.791,
1995-06,2536.222,
1995-07,2362.099,
1995-08,1335.428,
1995-09,2169.919,
1995-10,2162.851,
1995-11,1308.228,
1995-12,2267.971,
1996-01,1466.395,
1996-02,1230.444,
1996-03,3232.044,
1996-04,1331.040,
1996-05,3516.566,
1996-06,3806.943,
1996-07,3177.615,
1996-08,3302.471,
1996-09,3445.885,
1996-10,3343.027,
1996-11,3634.750,
1996-12,3004.220,
1997-01,3909.522,
1997-02,3717.212,
1997-03,4456.549,
1997-04,4615.329,
1997-05,4910.021,
1997-06,4844.584,
1997-07,4996.126,
1997-08,5061.623,
1997-09,5382.705,
1997-10,5745.168,
1997-11,5526.842,
1997-12,5665.137,
1998-01,6698.718,
1998-02,6120.850,
1998-03,7009.239,
1998-04,4176.050,
1998-05,6744.075,
1998-06,7766.399,
1998-07,6436.000,
1998-08,5586.295,
1998-09,6809.520,
1998-10,4111.221,
1998-11,3525.357,
1998-12,5014.752,
1999-01,5729.863,
1999-02,3332.285,
1999-03,4913.783,
1999-04,4928.015,
1999-05,5670.272,
1999-06,4615.378,
1999-07,7227.224,
1999-08,6634.271,
1999-09,8610.996,
1999-10,8933.825,
1999-11,11726.350,
1999-12,12129.612,
2000-01,20634.961,
2000-02,13337.411,
2000-03,12480.882,
2000-04,15570.466,
2000-05,13472.723,
2000-06,14736.212,
2000-07,13961.821,
2000-08,20623.064,
2000-09,18804.782,
2000-10,19150.059,
2000-11,29409.636,
2000-12,20509.501,
2001-01,21863.426,
