"",BBK01.OEHK02G,BBK01.OEHK02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:29,
2002-01,2.294,
2002-04,2.306,
2002-07,2.282,
2002-10,2.337,
2003-01,2.322,
2003-04,2.329,
2003-07,2.502,
2003-10,2.549,
2004-01,2.571,
2004-04,2.574,
2004-07,2.580,
2004-10,2.638,
2005-01,2.655,
2005-04,2.754,
2005-07,2.848,
2005-10,2.935,
2006-01,2.928,
2006-04,2.881,
2006-07,2.910,
2006-10,3.087,
2007-01,2.989,
2007-04,2.992,
2007-07,3.093,
2007-10,3.229,
2008-01,3.059,
2008-04,3.016,
2008-07,2.962,
2008-10,3.210,
2009-01,3.459,
2009-04,3.732,
2009-07,4.029,
2009-10,4.311,
2010-01,4.359,
2010-04,4.490,
2010-07,4.564,
2010-10,4.760,
2011-01,4.583,
2011-04,4.551,
2011-07,4.674,
2011-10,4.908,
2012-01,4.990,
2012-04,4.987,
2012-07,5.269,
2012-10,5.496,
2013-01,5.406,
2013-04,5.616,
2013-07,5.952,
2013-10,6.241,
2014-01,6.129,
2014-04,6.246,
2014-07,6.432,
