"",BBK01.OELI04U,BBK01.OELI04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:49,
2002-01,0.716,
2002-04,0.636,
2002-07,0.628,
2002-10,0.669,
2003-01,0.701,
2003-04,0.655,
2003-07,0.619,
2003-10,0.627,
2004-01,0.646,
2004-04,0.645,
2004-07,0.610,
2004-10,0.735,
2005-01,0.665,
2005-04,0.680,
2005-07,0.667,
2005-10,0.687,
2006-01,0.681,
2006-04,0.687,
2006-07,0.662,
2006-10,0.659,
2007-01,0.670,
2007-04,0.686,
2007-07,0.693,
2007-10,0.715,
2008-01,0.804,
2008-04,0.783,
2008-07,0.786,
2008-10,0.776,
2009-01,0.748,
2009-04,0.710,
2009-07,0.620,
2009-10,0.574,
2010-01,0.497,
2010-04,0.465,
2010-07,0.440,
2010-10,0.443,
2011-01,0.448,
2011-04,0.532,
2011-07,0.511,
2011-10,0.513,
2012-01,0.549,
2012-04,0.436,
2012-07,0.392,
2012-10,0.329,
2013-01,0.298,
2013-04,0.247,
2013-07,0.278,
2013-10,0.289,
2014-01,0.284,
2014-04,0.286,
2014-07,0.279,
