"",BBK01.OELM02Q,BBK01.OELM02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:35,
2002-01,0.031,
2002-04,0.030,
2002-07,0.033,
2002-10,0.053,
2003-01,0.032,
2003-04,0.031,
2003-07,0.037,
2003-10,0.063,
2004-01,0.043,
2004-04,0.044,
2004-07,0.051,
2004-10,0.068,
2005-01,0.057,
2005-04,0.053,
2005-07,0.071,
2005-10,0.077,
2006-01,0.060,
2006-04,0.075,
2006-07,0.072,
2006-10,0.130,
2007-01,0.070,
2007-04,0.084,
2007-07,0.072,
2007-10,0.105,
2008-01,0.076,
2008-04,0.080,
2008-07,0.076,
2008-10,0.094,
2009-01,0.104,
2009-04,0.073,
2009-07,0.080,
2009-10,0.101,
2010-01,0.069,
2010-04,0.093,
2010-07,0.093,
2010-10,0.109,
2011-01,0.093,
2011-04,0.096,
2011-07,0.114,
2011-10,0.114,
2012-01,0.103,
2012-04,0.104,
2012-07,0.122,
2012-10,0.193,
2013-01,0.151,
2013-04,0.171,
2013-07,0.190,
2013-10,0.210,
2014-01,0.171,
2014-04,0.205,
2014-07,0.194,
