"",BBEX3.M.NIO.USD.CA.AC.A01,BBEX3.M.NIO.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Nicaragua / USD 1 = NIO ... (middle),
unit,NIO (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:44,
2003-01,14.81770,
2003-02,14.88415,
2003-03,14.95790,
2003-04,15.02980,
2003-05,15.10435,
2003-06,15.17680,
2003-07,15.25220,
2003-08,15.32785,
2003-09,15.40140,
2003-10,15.47780,
2003-11,15.54715,
2003-12,15.62925,
2004-01,15.69185,
2004-02,15.75055,
2004-03,15.82000,
2004-04,15.88340,
2004-05,15.94915,
2004-06,16.01305,
2004-07,16.07730,
2004-08,16.14605,
2004-09,16.21065,
2004-10,16.27345,
2004-11,16.34300,
2004-12,16.41075,
2005-01,16.47890,
2005-02,16.54070,
2005-03,16.60935,
2005-04,16.67605,
2005-05,16.74530,
2005-06,16.81265,
2005-07,16.87795,
2005-08,16.95255,
2005-09,17.02070,
2005-10,17.09135,
2005-11,17.15995,
2005-12,17.22890,
2006-01,17.30280,
2006-02,17.36770,
2006-03,17.43985,
2006-04,17.50990,
2006-05,17.58260,
2006-06,17.65325,
2006-07,17.72660,
2006-08,17.80015,
2006-09,17.87170,
2006-10,17.94590,
2006-11,18.01805,
2006-12,18.09280,
2007-01,18.16800,
2007-02,18.23615,
2007-03,18.31180,
2007-04,18.38535,
2007-05,18.46175,
2007-06,18.53590,
2007-07,18.61290,
2007-08,18.69020,
2007-09,18.76525,
2007-10,18.84315,
2007-11,18.91890,
2007-12,18.99750,
2008-01,18.98120,
2008-02,19.05480,
2008-03,19.13370,
2008-04,19.21030,
2008-05,19.28990,
2008-06,19.36720,
2008-07,19.44740,
2008-08,19.52790,
2008-09,19.60620,
2008-10,19.68740,
2008-11,19.76630,
2008-12,19.84810,
2009-01,19.93050,
2009-02,20.00530,
2009-03,20.08830,
2009-04,20.16900,
2009-05,20.25280,
2009-06,20.33420,
2009-07,20.41860,
2009-08,20.50340,
2009-09,20.58580,
2009-10,20.67130,
2009-11,20.75430,
2009-12,20.84050,
2010-01,20.92700,
2010-02,21.00550,
2010-03,21.09270,
2010-04,21.17750,
2010-05,21.26540,
2010-06,21.35090,
2010-07,21.43950,
2010-08,21.52860,
2010-09,21.61510,
2010-10,21.70480,
2010-11,21.79200,
2010-12,21.88250,
2011-01,21.97340,
2011-02,22.05580,
2011-03,22.14740,
2011-04,22.23640,
2011-05,22.32870,
2011-06,22.41840,
2011-07,22.51150,
2011-08,22.60500,
2011-09,22.69580,
2011-10,22.79010,
2011-11,22.88160,
2011-12,22.97670,
2012-01,23.07180,
2012-02,23.16120,
2012-03,23.25710,
2012-04,23.35030,
2012-05,23.44700,
2012-06,23.54090,
2012-07,23.63840,
2012-08,23.73630,
2012-09,23.83140,
2012-10,23.93010,
2012-11,24.02600,
2012-12,24.12550,
2013-01,24.22570,
2013-02,24.31650,
2013-03,24.41750,
2013-04,24.51560,
2013-05,24.61740,
2013-06,24.71630,
2013-07,24.81900,
2013-08,24.92200,
2013-09,25.02220,
2013-10,25.12610,
2013-11,25.22700,
2013-12,25.33180,
2014-01,25.43700,
2014-02,25.53230,
2014-03,25.63840,
2014-04,25.74140,
2014-05,25.84830,
2014-06,25.95210,
2014-07,26.05990,
2014-08,26.16810,
2014-09,26.27330,
2014-10,26.38240,
2014-11,26.48840,
2014-12,26.59840,
2015-01,26.70880,
2015-02,26.80900,
"","Source: Banco Central de Nicaragua, Managua.",
"","Methodology: Until 2007, calculated on the basis of buying and selling rates.",
