"",BBK01.OEAC31T,BBK01.OEAC31T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:55,
2002-01,0.496,
2002-04,0.484,
2002-07,0.474,
2002-10,0.485,
2003-01,0.453,
2003-04,0.443,
2003-07,0.463,
2003-10,0.492,
2004-01,0.531,
2004-04,0.532,
2004-07,0.515,
2004-10,0.599,
2005-01,0.605,
2005-04,0.591,
2005-07,0.581,
2005-10,0.577,
2006-01,0.575,
2006-04,0.559,
2006-07,0.565,
2006-10,0.546,
2007-01,0.545,
2007-04,0.504,
2007-07,0.504,
2007-10,0.461,
2008-01,0.518,
2008-04,0.517,
2008-07,0.529,
2008-10,0.534,
2009-01,0.540,
2009-04,0.471,
2009-07,0.457,
2009-10,0.455,
2010-01,0.414,
2010-04,0.450,
2010-07,0.560,
2010-10,0.484,
2011-01,0.622,
2011-04,0.710,
2011-07,0.704,
2011-10,0.752,
2012-01,0.771,
2012-04,0.837,
2012-07,0.871,
2012-10,0.768,
2013-01,0.812,
2013-04,0.871,
2013-07,0.854,
2013-10,0.859,
2014-01,0.830,
2014-04,0.871,
2014-07,0.876,
