"",BBK01.XS8870,BBK01.XS8870_FLAGS
"",Exports / Product Classification for Production Statistics from 2002 / Capital goods / Seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-28 07:39:08,
2000-01,20.51,
2000-02,21.15,
2000-03,21.69,
2000-04,21.84,
2000-05,23.04,
2000-06,22.58,
2000-07,22.82,
2000-08,23.10,
2000-09,22.86,
2000-10,24.86,
2000-11,24.36,
2000-12,24.21,
2001-01,25.52,
2001-02,24.79,
2001-03,24.52,
2001-04,25.18,
2001-05,24.58,
2001-06,25.41,
2001-07,25.19,
2001-08,25.82,
2001-09,25.04,
2001-10,25.07,
2001-11,23.69,
2001-12,25.31,
2002-01,25.17,
2002-02,25.36,
2002-03,25.61,
2002-04,25.12,
2002-05,23.92,
2002-06,26.44,
2002-07,24.97,
2002-08,27.25,
2002-09,26.85,
2002-10,26.05,
2002-11,26.80,
2002-12,25.80,
2003-01,25.84,
2003-02,26.10,
2003-03,25.28,
2003-04,24.42,
2003-05,25.16,
2003-06,25.19,
2003-07,25.83,
2003-08,25.18,
2003-09,26.15,
2003-10,25.52,
2003-11,26.56,
2003-12,27.04,
2004-01,26.88,
2004-02,27.31,
2004-03,27.61,
2004-04,28.69,
2004-05,28.60,
2004-06,27.83,
2004-07,28.14,
2004-08,27.50,
2004-09,27.52,
2004-10,28.13,
2004-11,27.95,
2004-12,28.32,
2005-01,29.26,
2005-02,27.91,
2005-03,29.26,
2005-04,29.25,
2005-05,29.17,
2005-06,30.36,
2005-07,30.34,
2005-08,31.37,
2005-09,31.27,
2005-10,30.85,
2005-11,30.61,
2005-12,30.80,
2006-01,32.16,
2006-02,33.02,
2006-03,32.38,
2006-04,32.39,
2006-05,32.64,
2006-06,32.42,
2006-07,32.96,
2006-08,32.68,
2006-09,35.17,
2006-10,35.20,
2006-11,36.28,
2006-12,35.31,
2007-01,35.21,
2007-02,35.65,
2007-03,35.51,
2007-04,35.43,
2007-05,35.80,
2007-06,36.41,
2007-07,36.25,
2007-08,36.87,
2007-09,37.03,
2007-10,36.80,
2007-11,36.04,
2007-12,36.78,
2008-01,36.15,
2008-02,36.62,
2008-03,36.59,
2008-04,36.81,
2008-05,35.02,
2008-06,36.57,
2008-07,35.13,
2008-08,35.56,
2008-09,35.79,
2008-10,35.26,
2008-11,31.74,
2008-12,31.48,
