"",BBK01.OEYM03M,BBK01.OEYM03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:45,
2002-01,0.859,
2002-04,0.852,
2002-07,0.843,
2002-10,0.641,
2003-01,0.538,
2003-04,0.807,
2003-07,0.448,
2003-10,0.438,
2004-01,0.382,
2004-04,0.543,
2004-07,0.400,
2004-10,0.523,
2005-01,0.326,
2005-04,0.350,
2005-07,0.346,
2005-10,0.445,
2006-01,0.717,
2006-04,0.378,
2006-07,0.845,
2006-10,0.853,
2007-01,0.637,
2007-04,0.773,
2007-07,1.032,
2007-10,1.619,
2008-01,1.788,
2008-04,1.809,
2008-07,1.894,
2008-10,3.107,
2009-01,1.991,
2009-04,2.266,
2009-07,0.996,
2009-10,1.460,
2010-01,1.068,
2010-04,2.346,
2010-07,2.002,
2010-10,1.636,
2011-01,2.040,
2011-04,2.653,
2011-07,2.618,
2011-10,3.323,
2012-01,2.311,
2012-04,3.512,
2012-07,3.365,
2012-10,2.219,
2013-01,1.622,
2013-04,3.610,
2013-07,2.370,
2013-10,2.733,
2014-01,4.373,
2014-04,3.741,
2014-07,5.024,
