"",BBK01.OEAC11I,BBK01.OEAC11I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:41,
2002-01,33.925,
2002-04,33.760,
2002-07,32.255,
2002-10,31.950,
2003-01,31.504,
2003-04,31.414,
2003-07,31.721,
2003-10,30.678,
2004-01,29.940,
2004-04,29.759,
2004-07,28.069,
2004-10,28.121,
2005-01,28.145,
2005-04,27.882,
2005-07,27.718,
2005-10,27.093,
2006-01,27.196,
2006-04,27.175,
2006-07,28.014,
2006-10,27.891,
2007-01,27.651,
2007-04,27.454,
2007-07,27.456,
2007-10,26.830,
2008-01,26.430,
2008-04,27.379,
2008-07,27.571,
2008-10,27.330,
2009-01,27.458,
2009-04,28.349,
2009-07,29.425,
2009-10,28.636,
2010-01,29.058,
2010-04,27.740,
2010-07,30.004,
2010-10,30.151,
2011-01,30.362,
2011-04,30.355,
2011-07,30.884,
2011-10,31.720,
2012-01,32.069,
2012-04,33.160,
2012-07,33.421,
2012-10,33.164,
2013-01,33.467,
2013-04,33.380,
2013-07,33.584,
2013-10,34.350,
2014-01,34.407,
2014-04,34.560,
2014-07,34.558,
