"",BBK01.OELB10T,BBK01.OELB10T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:32,
2002-01,0.130,
2002-04,0.133,
2002-07,0.131,
2002-10,0.113,
2003-01,0.121,
2003-04,0.121,
2003-07,0.119,
2003-10,0.104,
2004-01,0.112,
2004-04,0.114,
2004-07,0.109,
2004-10,0.096,
2005-01,0.099,
2005-04,0.096,
2005-07,0.099,
2005-10,0.084,
2006-01,0.090,
2006-04,0.092,
2006-07,0.089,
2006-10,0.075,
2007-01,0.078,
2007-04,0.086,
2007-07,0.080,
2007-10,0.068,
2008-01,0.070,
2008-04,0.073,
2008-07,0.071,
2008-10,0.070,
2009-01,0.070,
2009-04,0.077,
2009-07,0.080,
2009-10,0.067,
2010-01,0.077,
2010-04,0.083,
2010-07,0.076,
2010-10,0.066,
2011-01,0.075,
2011-04,0.087,
2011-07,0.085,
2011-10,0.072,
2012-01,0.081,
2012-04,0.079,
2012-07,0.075,
2012-10,0.066,
2013-01,0.075,
2013-04,0.083,
2013-07,0.079,
2013-10,0.072,
2014-01,0.076,
2014-04,0.080,
2014-07,0.076,
