"",BBK01.OEAF32J,BBK01.OEAF32J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:54,
2002-01,6.763,
2002-04,6.824,
2002-07,6.466,
2002-10,6.514,
2003-01,6.562,
2003-04,6.597,
2003-07,6.687,
2003-10,6.763,
2004-01,6.764,
2004-04,6.791,
2004-07,6.851,
2004-10,6.900,
2005-01,7.542,
2005-04,7.587,
2005-07,7.689,
2005-10,7.687,
2006-01,7.680,
2006-04,7.618,
2006-07,7.651,
2006-10,7.627,
2007-01,7.556,
2007-04,7.538,
2007-07,7.517,
2007-10,7.469,
2008-01,7.396,
2008-04,7.406,
2008-07,7.265,
2008-10,7.258,
2009-01,7.233,
2009-04,7.239,
2009-07,6.614,
2009-10,6.591,
2010-01,6.540,
2010-04,6.520,
2010-07,6.540,
2010-10,6.538,
2011-01,6.508,
2011-04,6.504,
2011-07,6.537,
2011-10,6.559,
2012-01,6.547,
2012-04,6.645,
2012-07,6.654,
2012-10,6.674,
2013-01,6.673,
2013-04,6.706,
2013-07,6.751,
2013-10,6.790,
2014-01,6.586,
2014-04,6.640,
2014-07,6.453,
