"",BBK01.OECL03M,BBK01.OECL03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:33,
2002-01,0.664,
2002-04,0.626,
2002-07,0.618,
2002-10,0.634,
2003-01,0.594,
2003-04,0.542,
2003-07,0.488,
2003-10,0.502,
2004-01,0.447,
2004-04,0.413,
2004-07,0.370,
2004-10,0.535,
2005-01,0.816,
2005-04,0.812,
2005-07,0.779,
2005-10,0.840,
2006-01,0.818,
2006-04,0.816,
2006-07,0.864,
2006-10,0.947,
2007-01,1.022,
2007-04,1.068,
2007-07,1.263,
2007-10,1.577,
2008-01,1.711,
2008-04,1.945,
2008-07,2.394,
2008-10,2.504,
2009-01,2.228,
2009-04,2.058,
2009-07,1.572,
2009-10,1.148,
2010-01,0.777,
2010-04,0.706,
2010-07,0.597,
2010-10,0.531,
2011-01,0.485,
2011-04,0.498,
2011-07,0.446,
2011-10,0.639,
2012-01,0.695,
2012-04,0.690,
2012-07,0.658,
2012-10,0.473,
2013-01,0.364,
2013-04,0.351,
2013-07,0.313,
2013-10,0.278,
2014-01,0.276,
2014-04,0.262,
2014-07,0.288,
