"",BBK01.OEAE14K,BBK01.OEAE14K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:54,
2002-01,0.115,
2002-04,0.108,
2002-07,0.103,
2002-10,0.110,
2003-01,0.115,
2003-04,0.122,
2003-07,0.101,
2003-10,0.098,
2004-01,0.096,
2004-04,0.104,
2004-07,0.098,
2004-10,0.093,
2005-01,0.149,
2005-04,0.092,
2005-07,0.129,
2005-10,0.076,
2006-01,0.066,
2006-04,0.088,
2006-07,0.102,
2006-10,0.064,
2007-01,0.101,
2007-04,0.102,
2007-07,0.123,
2007-10,0.071,
2008-01,0.144,
2008-04,0.080,
2008-07,0.046,
2008-10,0.039,
2009-01,0.085,
2009-04,0.092,
2009-07,0.033,
2009-10,0.033,
2010-01,0.040,
2010-04,0.041,
2010-07,0.038,
2010-10,0.042,
2011-01,0.044,
2011-04,0.046,
2011-07,0.038,
2011-10,0.037,
2012-01,0.044,
2012-04,0.045,
2012-07,0.032,
2012-10,0.032,
2013-01,0.039,
2013-04,0.042,
2013-07,0.050,
2013-10,0.049,
2014-01,0.058,
2014-04,0.067,
2014-07,0.053,
