"",BBSF2.M.1.T.00000.GEM01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.GEM01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Funds total / Mixed securities funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:34,
2009-09,865,
2009-10,893,
2009-11,820,
2009-12,738,
2010-01,940,
2010-02,748,
2010-03,541,
2010-04,511,
2010-05,413,
2010-06,503,
2010-07,456,
2010-08,430,
2010-09,409,
2010-10,395,
2010-11,571,
2010-12,690,
2011-01,672,
2011-02,587,
2011-03,580,
2011-04,555,
2011-05,648,
2011-06,648,
2011-07,620,
2011-08,844,
2011-09,815,
2011-10,770,
2011-11,610,
2011-12,497,
2012-01,547,
2012-02,518,
2012-03,545,
2012-04,644,
2012-05,510,
2012-06,488,
2012-07,584,
2012-08,805,
2012-09,744,
2012-10,788,
2012-11,814,
2012-12,760,
2013-01,657,
2013-02,593,
2013-03,603,
2013-04,663,
2013-05,626,
2013-06,855,
2013-07,818,
2013-08,955,
2013-09,795,
2013-10,793,
2013-11,723,
2013-12,675,
2014-01,661,
2014-02,1050,
2014-03,971,
2014-04,950,
2014-05,902,
2014-06,940,
2014-07,1030,
2014-08,609,
2014-09,517,
2014-10,790,
2014-11,936,
