"",BBK01.OEBL09H,BBK01.OEBL09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:04,
2002-01,1.615,
2002-04,1.518,
2002-07,1.584,
2002-10,1.535,
2003-01,1.399,
2003-04,1.272,
2003-07,1.196,
2003-10,1.178,
2004-01,1.155,
2004-04,1.124,
2004-07,1.090,
2004-10,1.084,
2005-01,1.173,
2005-04,1.144,
2005-07,1.054,
2005-10,1.064,
2006-01,1.088,
2006-04,1.154,
2006-07,1.228,
2006-10,1.331,
2007-01,1.704,
2007-04,1.880,
2007-07,2.054,
2007-10,2.311,
2008-01,2.477,
2008-04,2.536,
2008-07,2.676,
2008-10,3.852,
2009-01,3.810,
2009-04,3.723,
2009-07,3.716,
2009-10,3.017,
2010-01,2.380,
2010-04,2.296,
2010-07,2.221,
2010-10,2.750,
2011-01,3.191,
2011-04,3.277,
2011-07,3.287,
2011-10,3.164,
2012-01,2.896,
2012-04,2.885,
2012-07,2.729,
2012-10,2.334,
2013-01,1.988,
2013-04,1.691,
2013-07,1.575,
2013-10,1.497,
2014-01,1.423,
2014-04,1.354,
2014-07,1.685,
