"",BBK01.OECO03M,BBK01.OECO03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:04,
2002-01,0.505,
2002-04,0.668,
2002-07,0.285,
2002-10,0.303,
2003-01,0.354,
2003-04,0.354,
2003-07,0.329,
2003-10,0.348,
2004-01,0.460,
2004-04,0.360,
2004-07,0.336,
2004-10,0.371,
2005-01,0.895,
2005-04,0.778,
2005-07,0.776,
2005-10,0.785,
2006-01,0.970,
2006-04,0.873,
2006-07,0.861,
2006-10,0.985,
2007-01,1.106,
2007-04,0.891,
2007-07,0.810,
2007-10,0.845,
2008-01,0.878,
2008-04,0.784,
2008-07,0.688,
2008-10,0.814,
2009-01,0.861,
2009-04,0.783,
2009-07,0.898,
2009-10,0.938,
2010-01,1.010,
2010-04,0.719,
2010-07,0.461,
2010-10,0.633,
2011-01,0.777,
2011-04,0.777,
2011-07,0.716,
2011-10,0.649,
2012-01,0.827,
2012-04,0.614,
2012-07,0.620,
2012-10,0.637,
2013-01,0.956,
2013-04,0.596,
2013-07,0.595,
2013-10,0.484,
2014-01,0.455,
2014-04,0.391,
2014-07,0.482,
