"",BBK01.OEAA05O,BBK01.OEAA05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:26,
2002-01,59.892,
2002-04,59.891,
2002-07,60.906,
2002-10,61.401,
2003-01,62.410,
2003-04,61.227,
2003-07,57.401,
2003-10,61.798,
2004-01,61.600,
2004-04,60.523,
2004-07,59.814,
2004-10,60.595,
2005-01,103.269,
2005-04,103.820,
2005-07,104.110,
2005-10,104.580,
2006-01,104.600,
2006-04,105.080,
2006-07,105.237,
2006-10,105.661,
2007-01,105.388,
2007-04,106.268,
2007-07,106.828,
2007-10,106.769,
2008-01,106.366,
2008-04,106.926,
2008-07,101.354,
2008-10,98.987,
2009-01,99.019,
2009-04,99.957,
2009-07,101.113,
2009-10,104.520,
2010-01,104.122,
2010-04,103.556,
2010-07,104.375,
2010-10,104.566,
2011-01,103.734,
2011-04,104.308,
2011-07,106.069,
2011-10,105.933,
2012-01,105.795,
2012-04,107.525,
2012-07,106.925,
2012-10,107.522,
2013-01,106.819,
2013-04,106.202,
2013-07,112.417,
2013-10,112.560,
2014-01,113.251,
2014-04,112.288,
2014-07,112.388,
