"",BBFB1.Q.N.DE.AR.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.AR.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:29,
1991-01,59.425,
1991-04,25.639,
1991-07,-10.516,
1991-10,-28.420,
1992-01,-13.426,
1992-04,18.001,
1992-07,24.818,
1992-10,-5.792,
1993-01,-23.622,
1993-04,10.517,
1993-07,6.024,
1993-10,65.622,
1994-01,148.309,
1994-04,-125.899,
1994-07,-70.815,
1994-10,-4.465,
1995-01,27.401,
1995-04,4.910,
1995-07,1103.769,
1995-10,-958.993,
1996-01,-58.780,
1996-04,61.187,
1996-07,-43.595,
1996-10,-65.560,
1997-01,25.625,
1997-04,3.418,
1997-07,12.806,
1997-10,34.317,
1998-01,17.195,
1998-04,-491.837,
1998-07,-118.541,
1998-10,52.873,
1999-01,-18.414,
1999-04,-0.741,
1999-07,-25.008,
1999-10,39.458,
2000-01,-26.232,
2000-04,97.823,
2000-07,407.299,
2000-10,131.834,
2001-01,65.186,
2001-04,-240.877,
2001-07,362.267,
2001-10,-747.391,
2002-01,72.709,
2002-04,-9.438,
2002-07,15.775,
2002-10,63.227,
2003-01,-91.481,
2003-04,-11.733,
2003-07,9.155,
2003-10,-47.086,
2004-01,-28.251,
2004-04,-22.840,
2004-07,2.501,
2004-10,21.583,
2005-01,61.025,
2005-04,-64.277,
2005-07,-30.487,
2005-10,51.819,
2006-01,-25.342,
2006-04,35.368,
2006-07,47.613,
2006-10,6.824,
2007-01,88.742,
2007-04,-23.389,
2007-07,79.681,
2007-10,16.893,
2008-01,-127.471,
2008-04,38.501,
2008-07,83.493,
2008-10,36.884,
2009-01,-22.900,
2009-04,19.684,
2009-07,-17.185,
2009-10,-8.511,
2010-01,-9.971,
2010-04,45.014,
2010-07,-82.599,
2010-10,-10.123,
2011-01,55.411,
2011-04,23.062,
2011-07,15.784,
2011-10,-56.664,
2012-01,-18.677,
2012-04,25.042,
2012-07,265.802,
2012-10,-2.130,
2013-01,29.825,
2013-04,41.843,
2013-07,-34.277,
2013-10,-15.515,
2014-01,-101.652,Provisional value
2014-04,498.926,Provisional value
2014-07,11.791,Provisional value
2014-10,622.093,Provisional value
