"",BBK01.OEAC15V,BBK01.OEAC15V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:15,
2002-01,2.148,
2002-04,2.146,
2002-07,2.101,
2002-10,2.006,
2003-01,2.031,
2003-04,1.997,
2003-07,1.960,
2003-10,1.899,
2004-01,1.886,
2004-04,1.848,
2004-07,1.774,
2004-10,1.720,
2005-01,1.708,
2005-04,1.680,
2005-07,1.589,
2005-10,1.576,
2006-01,1.506,
2006-04,1.479,
2006-07,1.457,
2006-10,1.428,
2007-01,1.403,
2007-04,1.390,
2007-07,1.358,
2007-10,1.307,
2008-01,1.332,
2008-04,1.289,
2008-07,1.276,
2008-10,1.243,
2009-01,1.262,
2009-04,1.295,
2009-07,1.282,
2009-10,1.185,
2010-01,1.236,
2010-04,1.231,
2010-07,1.225,
2010-10,1.199,
2011-01,1.216,
2011-04,1.214,
2011-07,1.191,
2011-10,1.141,
2012-01,1.148,
2012-04,1.163,
2012-07,1.149,
2012-10,1.126,
2013-01,1.121,
2013-04,1.114,
2013-07,1.113,
2013-10,1.092,
2014-01,1.098,
2014-04,1.102,
2014-07,1.094,
