"",BBK01.OEBB22O,BBK01.OEBB22O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:57,
2002-01,0.372,
2002-04,0.357,
2002-07,0.367,
2002-10,0.444,
2003-01,0.384,
2003-04,0.378,
2003-07,-0.021,
2003-10,0.093,
2004-01,-0.190,
2004-04,0.299,
2004-07,0.179,
2004-10,0.317,
2005-01,0.615,
2005-04,0.407,
2005-07,0.393,
2005-10,0.296,
2006-01,0.275,
2006-04,0.044,
2006-07,0.413,
2006-10,0.394,
2007-01,0.278,
2007-04,0.142,
2007-07,0.029,
2007-10,0.028,
2008-01,0.077,
2008-04,0.098,
2008-07,0.114,
2008-10,0.121,
2009-01,0.116,
2009-04,0.127,
2009-07,0.158,
2009-10,0.141,
2010-01,0.306,
2010-04,0.296,
2010-07,0.357,
2010-10,0.345,
2011-01,0.162,
2011-04,0.244,
2011-07,0.109,
2011-10,0.109,
2012-01,0.029,
2012-04,0.013,
2012-07,0.071,
2012-10,0.003,
2013-01,0.093,
2013-04,0.100,
2013-07,0.072,
2013-10,0.016,
2014-01,0.016,
2014-04,0.052,
2014-07,0.051,
