"",BBFN1.M.DE.N.1.A.CZ.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CZ.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Czech Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:34,
1994-07,0.639,
1994-08,0.694,
1994-09,0.744,
1994-10,0.803,
1994-11,0.835,
1994-12,0.725,
1995-01,0.737,
1995-02,0.751,
1995-03,0.773,
1995-04,0.809,
1995-05,0.831,
1995-06,0.876,
1995-07,0.896,
1995-08,0.900,
1995-09,0.952,
1995-10,0.969,
1995-11,1.014,
1995-12,0.902,
1996-01,0.910,
1996-02,0.893,
1996-03,0.983,
1996-04,0.973,
1996-05,1.006,
1996-06,1.033,
1996-07,0.997,
1996-08,1.025,
1996-09,1.047,
1996-10,1.068,
1996-11,1.153,
1996-12,1.071,
1997-01,1.014,
1997-02,1.047,
1997-03,1.097,
1997-04,1.130,
1997-05,1.126,
1997-06,1.167,
1997-07,1.192,
1997-08,1.174,
1997-09,1.195,
1997-10,1.237,
1997-11,1.240,
1997-12,1.380,
1998-01,1.142,
1998-02,1.194,
1998-03,1.245,
1998-04,1.242,
1998-05,1.245,
1998-06,1.262,
1998-07,1.225,
1998-08,1.186,
1998-09,1.310,
1998-10,1.311,
1998-11,1.364,
1998-12,1.287,
1999-01,1.241,
1999-02,1.207,
1999-03,1.271,
1999-04,1.243,
1999-05,1.361,
1999-06,1.406,
1999-07,1.388,
1999-08,1.327,
1999-09,1.374,
1999-10,1.431,
1999-11,1.463,
1999-12,1.397,
2000-01,1.386,
2000-02,1.405,
2000-03,1.497,
2000-04,1.563,
2000-05,1.619,
2000-06,1.636,
2000-07,1.617,
2000-08,1.674,
2000-09,1.759,
2000-10,1.780,
2000-11,1.810,
2000-12,1.805,
2001-01,1.778,
2001-02,1.828,
2001-03,1.814,
2001-04,1.903,
2001-05,1.868,
2001-06,2.007,
2001-07,1.859,
2001-08,1.801,
2001-09,1.901,
2001-10,1.973,
2001-11,1.941,
2001-12,1.805,
2002-01,1.654,
2002-02,1.700,
2002-03,1.688,
2002-04,1.729,
2002-05,1.792,
2002-06,1.803,
2002-07,1.771,
2002-08,1.718,
2002-09,1.774,
2002-10,1.852,
2002-11,1.819,
2002-12,1.668,
2003-01,1.668,
2003-02,1.623,
2003-03,1.678,
2003-04,1.696,
2003-05,1.618,
2003-06,1.609,
2003-07,1.625,
2003-08,1.617,
2003-09,1.699,
2003-10,1.774,
2003-11,1.828,
2003-12,1.578,
2004-01,1.617,
2004-02,1.581,
2004-03,1.624,
2004-04,1.642,
2004-05,1.721,
2004-06,1.700,
2004-07,1.595,
2004-08,1.619,
2004-09,1.737,
2004-10,1.963,
2004-11,1.993,
2004-12,1.829,
2005-01,1.808,
2005-02,1.779,
2005-03,1.851,
2005-04,1.852,
2005-05,1.914,
2005-06,1.917,
2005-07,1.880,
2005-08,1.886,
2005-09,1.993,
2005-10,2.033,
2005-11,2.094,
2005-12,1.922,
2006-01,1.882,
2006-02,1.869,
2006-03,2.088,
2006-04,2.050,
2006-05,2.117,
2006-06,2.181,
2006-07,2.098,
2006-08,1.963,
2006-09,2.135,
2006-10,2.213,
2006-11,2.270,
2006-12,1.894,
2007-01,2.088,
2007-02,2.135,
2007-03,2.269,
2007-04,2.193,
2007-05,2.196,
2007-06,2.226,
2007-07,2.117,
2007-08,2.154,
2007-09,2.329,
2007-10,2.454,
2007-11,2.533,
2007-12,2.345,
2008-01,2.447,
2008-02,2.632,
2008-03,2.744,
2008-04,2.795,
2008-05,2.873,
2008-06,3.058,
2008-07,3.156,
2008-08,3.211,
2008-09,3.584,
2008-10,3.556,
2008-11,3.623,
2008-12,3.566,
2009-01,3.419,
2009-02,3.531,
2009-03,3.784,
2009-04,3.602,
2009-05,3.653,
2009-06,4.582,
2009-07,4.316,
2009-08,3.689,
2009-09,3.844,
2009-10,4.498,
2009-11,4.571,
2009-12,2.717,
2010-01,2.081,
2010-02,2.055,
2010-03,2.914,
2010-04,2.797,
2010-05,2.618,
2010-06,2.727,
2010-07,2.529,
2010-08,2.390,
2010-09,2.887,
2010-10,2.669,
2010-11,2.458,
2010-12,2.317,
2011-01,2.146,
2011-02,2.242,
2011-03,2.592,
2011-04,2.358,
2011-05,2.419,
2011-06,2.580,
2011-07,2.350,
2011-08,2.310,
2011-09,2.937,
2011-10,2.512,
2011-11,2.612,
2011-12,2.565,
2012-01,2.551,
2012-02,2.656,
2012-03,3.289,
2012-04,2.626,
2012-05,2.723,
2012-06,2.869,
2012-07,2.718,
2012-08,2.684,
2012-09,3.089,
2012-10,2.529,
2012-11,2.556,
2012-12,2.513,
2013-01,2.169,
2013-02,2.274,
2013-03,2.878,
2013-04,2.442,
2013-05,2.453,
2013-06,2.780,
2013-07,2.402,
2013-08,2.407,
2013-09,3.061,
2013-10,2.776,
2013-11,2.831,
2013-12,2.901,
2014-01,2.401,
2014-02,2.540,
2014-03,3.009,
2014-04,2.608,
2014-05,2.588,
2014-06,3.022,
2014-07,2.580,
2014-08,2.412,
2014-09,3.277,
2014-10,2.777,
2014-11,2.936,
2014-12,3.023,
