"",BBK01.OEAD20J,BBK01.OEAD20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:23,
2002-01,0.101,
2002-04,0.092,
2002-07,0.103,
2002-10,0.083,
2003-01,0.095,
2003-04,0.091,
2003-07,0.081,
2003-10,0.072,
2004-01,0.074,
2004-04,0.109,
2004-07,0.067,
2004-10,0.076,
2005-01,0.087,
2005-04,0.082,
2005-07,0.083,
2005-10,0.077,
2006-01,0.094,
2006-04,0.103,
2006-07,0.122,
2006-10,0.115,
2007-01,0.143,
2007-04,0.132,
2007-07,0.167,
2007-10,0.165,
2008-01,0.161,
2008-04,0.160,
2008-07,0.159,
2008-10,0.137,
2009-01,0.113,
2009-04,0.124,
2009-07,0.115,
2009-10,0.092,
2010-01,0.071,
2010-04,0.117,
2010-07,0.137,
2010-10,0.174,
2011-01,0.216,
2011-04,0.214,
2011-07,0.195,
2011-10,0.178,
2012-01,0.179,
2012-04,0.231,
2012-07,0.223,
2012-10,0.225,
2013-01,0.224,
2013-04,0.198,
2013-07,0.202,
2013-10,0.223,
2014-01,0.217,
2014-04,0.226,
2014-07,0.225,
