"",BBK01.OEYK02Q,BBK01.OEYK02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:56,
2002-01,0.084,
2002-04,0.097,
2002-07,0.086,
2002-10,0.102,
2003-01,0.103,
2003-04,0.127,
2003-07,0.254,
2003-10,0.325,
2004-01,0.307,
2004-04,0.033,
2004-07,0.049,
2004-10,0.035,
2005-01,0.032,
2005-04,0.042,
2005-07,0.043,
2005-10,0.042,
2006-01,0.046,
2006-04,0.070,
2006-07,0.064,
2006-10,0.055,
2007-01,0.089,
2007-04,0.351,
2007-07,0.078,
2007-10,0.077,
2008-01,0.079,
2008-04,0.045,
2008-07,0.065,
2008-10,0.058,
2009-01,0.059,
2009-04,0.063,
2009-07,0.061,
2009-10,0.063,
2010-01,0.042,
2010-04,0.049,
2010-07,0.039,
2010-10,0.039,
2011-01,0.034,
2011-04,0.037,
2011-07,0.040,
2011-10,0.039,
2012-01,0.039,
2012-04,0.041,
2012-07,0.040,
2012-10,0.034,
2013-01,0.043,
2013-04,0.089,
2013-07,0.058,
2013-10,0.052,
2014-01,0.049,
2014-04,0.049,
2014-07,0.051,
