"",BBSF2.M.1.S.I1250.AKT01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.AKT01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Number / Insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:53,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,76,
1993-05,76,
1993-06,76,
1993-07,75,
1993-08,75,
1993-09,76,
1993-10,77,
1993-11,78,
1993-12,79,
1994-01,80,
1994-02,83,
1994-03,84,
1994-04,88,
1994-05,89,
1994-06,89,
1994-07,90,
1994-08,90,
1994-09,91,
1994-10,95,
1994-11,95,
1994-12,97,
1995-01,97,
1995-02,99,
1995-03,99,
1995-04,99,
1995-05,99,
1995-06,98,
1995-07,99,
1995-08,98,
1995-09,100,
1995-10,100,
1995-11,100,
1995-12,100,
1996-01,103,
1996-02,104,
1996-03,104,
1996-04,104,
1996-05,105,
1996-06,106,
1996-07,108,
1996-08,106,
1996-09,106,
1996-10,107,
1996-11,107,
1996-12,115,
1997-01,120,
1997-02,121,
1997-03,122,
1997-04,123,
1997-05,125,
1997-06,129,
1997-07,132,
1997-08,134,
1997-09,134,
1997-10,140,
1997-11,145,
1997-12,146,
1998-01,147,
1998-02,149,
1998-03,150,
1998-04,150,
1998-05,151,
1998-06,150,
1998-07,156,
1998-08,158,
1998-09,158,
1998-10,157,
1998-11,158,
1998-12,160,
1999-01,161,
1999-02,161,
1999-03,162,
1999-04,165,
1999-05,167,
1999-06,166,
1999-07,166,
1999-08,168,
1999-09,170,
1999-10,172,
1999-11,174,
1999-12,175,
2000-01,176,
2000-02,177,
2000-03,178,
2000-04,181,
2000-05,184,
2000-06,184,
2000-07,189,
2000-08,188,
2000-09,192,
2000-10,187,
2000-11,186,
2000-12,189,
2001-01,192,
2001-02,196,
2001-03,200,
2001-04,200,
2001-05,202,
2001-06,203,
2001-07,209,
2001-08,214,
2001-09,213,
2001-10,215,
2001-11,215,
2001-12,213,
2002-01,217,
2002-02,215,
2002-03,215,
2002-04,212,
2002-05,211,
2002-06,211,
2002-07,210,
2002-08,213,
2002-09,212,
2002-10,214,
2002-11,213,
2002-12,211,
2003-01,208,
2003-02,206,
2003-03,202,
2003-04,201,
2003-05,202,
2003-06,195,
2003-07,192,
2003-08,193,
2003-09,193,
2003-10,194,
2003-11,193,
2003-12,202,
2004-01,196,
2004-02,191,
2004-03,185,
2004-04,173,
2004-05,174,
2004-06,172,
2004-07,171,
2004-08,170,
2004-09,171,
2004-10,171,
2004-11,162,
2004-12,157,
2005-01,157,
2005-02,158,
2005-03,154,
2005-04,153,
2005-05,152,
2005-06,154,
2005-07,153,
2005-08,151,
2005-09,147,
2005-10,121,
2005-11,123,
2005-12,120,
2006-01,119,
2006-02,120,
2006-03,121,
2006-04,121,
2006-05,120,
2006-06,120,
2006-07,131,
2006-08,134,
2006-09,132,
2006-10,130,
2006-11,130,
2006-12,129,
2007-01,126,
2007-02,125,
2007-03,125,
2007-04,121,
2007-05,117,
2007-06,110,
2007-07,109,
2007-08,109,
2007-09,109,
2007-10,109,
2007-11,111,
2007-12,110,
2008-01,108,
2008-02,108,
2008-03,109,
2008-04,109,
2008-05,109,
2008-06,109,
2008-07,108,
2008-08,107,
2008-09,105,
2008-10,100,
2008-11,99,
2008-12,101,
2009-01,100,
2009-02,97,
2009-03,94,
2009-04,80,
2009-05,89,
2009-06,88,
2009-07,87,
2009-08,87,
2009-09,82,
2009-10,82,
2009-11,79,
2009-12,79,
2010-01,75,
2010-02,76,
2010-03,74,
2010-04,74,
2010-05,74,
2010-06,71,
2010-07,70,
2010-08,71,
2010-09,67,
2010-10,66,
2010-11,66,
2010-12,64,
2011-01,64,
2011-02,64,
2011-03,63,
2011-04,64,
2011-05,64,
2011-06,64,
2011-07,64,
2011-08,64,
2011-09,63,
2011-10,63,
2011-11,63,
2011-12,63,
2012-01,63,
2012-02,61,
2012-03,61,
2012-04,60,
2012-05,59,
2012-06,59,
2012-07,59,
2012-08,58,
2012-09,58,
2012-10,58,
2012-11,57,
2012-12,55,
2013-01,55,
2013-02,54,
2013-03,55,
2013-04,53,
2013-05,53,
2013-06,52,
2013-07,52,
2013-08,52,
2013-09,52,
2013-10,52,
2013-11,52,
2013-12,52,
2014-01,52,
2014-02,54,
2014-03,53,
2014-04,53,
2014-05,53,
2014-06,53,
2014-07,52,
2014-08,52,
2014-09,52,
2014-10,52,
2014-11,53,
