"",BBSF2.M.1.P.00000.SON01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.SON01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Other funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:10,
2009-09,756,
2009-10,678,
2009-11,1071,
2009-12,1117,
2010-01,841,
2010-02,872,
2010-03,915,
2010-04,945,
2010-05,970,
2010-06,902,
2010-07,919,
2010-08,1111,
2010-09,913,
2010-10,1149,
2010-11,1267,
2010-12,1106,
2011-01,1048,
2011-02,1075,
2011-03,1031,
2011-04,1110,
2011-05,1236,
2011-06,1143,
2011-07,1226,
2011-08,1323,
2011-09,1295,
2011-10,1352,
2011-11,1744,
2011-12,1359,
2012-01,1390,
2012-02,1377,
2012-03,1306,
2012-04,1361,
2012-05,1606,
2012-06,1644,
2012-07,1307,
2012-08,1363,
2012-09,1261,
2012-10,1239,
2012-11,1220,
2012-12,1220,
2013-01,1203,
2013-02,1202,
2013-03,1214,
2013-04,1206,
2013-05,1194,
2013-06,1145,
2013-07,1160,
2013-08,1144,
2013-09,1125,
2013-10,1509,
2013-11,1487,
2013-12,1543,
2014-01,1521,
2014-02,1564,
2014-03,1602,
2014-04,1626,
2014-05,1782,
2014-06,1712,
2014-07,1716,
2014-08,1727,
2014-09,1679,
2014-10,1681,
2014-11,1483,
