"",BBK01.WU0015,BBK01.WU0015_FLAGS
"",Amounts outstanding of debt securities issued by residents / Bank debt securities,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:15:49,
1948-01,-,Nothing exists
1948-02,-,Nothing exists
1948-03,-,Nothing exists
1948-04,-,Nothing exists
1948-05,-,Nothing exists
1948-06,-,Nothing exists
1948-07,-,Nothing exists
1948-08,-,Nothing exists
1948-09,0,
1948-10,4,
1948-11,5,
1948-12,5,
1949-01,13,
1949-02,18,
1949-03,30,
1949-04,50,
1949-05,55,
1949-06,62,
1949-07,71,
1949-08,80,
1949-09,94,
1949-10,104,
1949-11,111,
1949-12,134,
1950-01,179,
1950-02,193,
1950-03,208,
1950-04,217,
1950-05,230,
1950-06,241,
1950-07,257,
1950-08,279,
1950-09,293,
1950-10,307,
1950-11,320,
1950-12,342,
1951-01,366,
1951-02,381,
1951-03,398,
1951-04,439,
1951-05,450,
1951-06,466,
1951-07,496,
1951-08,527,
1951-09,560,
1951-10,601,
1951-11,625,
1951-12,663,
1952-01,691,
1952-02,702,
1952-03,737,
1952-04,781,
1952-05,812,
1952-06,831,
1952-07,849,
1952-08,872,
1952-09,903,
1952-10,944,
1952-11,992,
1952-12,1179,
1953-01,1240,
1953-02,1284,
1953-03,1339,
1953-04,1395,
1953-05,1445,
1953-06,1496,
1953-07,1584,
1953-08,1642,
1953-09,1693,
1953-10,1800,
1953-11,1884,
1953-12,2046,
1954-01,2155,
1954-02,2323,
1954-03,2402,
1954-04,2492,
1954-05,2613,
1954-06,2919,comment
1954-07,3156,
1954-08,3316,
1954-09,3439,
1954-10,3544,
1954-11,3660,
1954-12,3823,
1955-01,4006,
1955-02,4108,
1955-03,4136,
1955-04,4235,
1955-05,4341,
1955-06,4541,
1955-07,4789,
1955-08,4925,
1955-09,5066,
1955-10,5174,
1955-11,5213,
1955-12,5310,
1956-01,5381,
1956-02,5475,
1956-03,5574,
1956-04,5663,
1956-05,5735,
1956-06,5825,
1956-07,5892,
1956-08,5933,
1956-09,5984,
1956-10,6018,
1956-11,6052,
1956-12,6119,
1957-01,6178,
1957-02,6228,
1957-03,6301,
1957-04,6377,
1957-05,6468,
1957-06,6519,
1957-07,6631,
1957-08,6752,
1957-09,6911,
1957-10,7073,
1957-11,7249,
1957-12,7369,
1958-01,7522,
1958-02,7755,
1958-03,7960,
1958-04,8222,
1958-05,8307,
1958-06,8452,
1958-07,8697,
1958-08,8933,
1958-09,9086,
1958-10,9279,
1958-11,9420,
1958-12,9529,
1959-01,10095,
1959-02,10326,
1959-03,10545,
1959-04,10801,
1959-05,11117,
1959-06,11302,comment
1959-07,11721,
1959-08,11910,
1959-09,12103,
1959-10,12220,
1959-11,12451,
1959-12,12689,
1960-01,12864,
1960-02,13028,
1960-03,13210,
1960-04,13348,
1960-05,13478,
1960-06,13554,
1960-07,13783,
1960-08,13996,
1960-09,14119,
1960-10,14286,
1960-11,14387,
1960-12,14498,
1961-01,14828,
1961-02,15111,
1961-03,15444,
1961-04,15658,
1961-05,15926,
1961-06,16199,
1961-07,16353,
1961-08,16587,
1961-09,16756,
1961-10,17036,
1961-11,17278,
1961-12,17556,
1962-01,18045,
1962-02,18378,
1962-03,18638,
1962-04,18856,
1962-05,19246,
1962-06,19458,
1962-07,19768,
1962-08,20039,
1962-09,20302,
1962-10,20486,
1962-11,20716,
1962-12,20925,
1963-01,21620,
1963-02,21901,
1963-03,22230,
1963-04,22455,
1963-05,22820,
1963-06,23096,
1963-07,23360,
1963-08,23761,
1963-09,24021,
1963-10,24447,
1963-11,24849,
1963-12,25249,
1964-01,26202,
1964-02,26495,
1964-03,26887,
1964-04,27306,
1964-05,27558,
1964-06,27872,
1964-07,28342,
1964-08,28738,
1964-09,29076,
1964-10,29469,
1964-11,29769,
1964-12,30315,
1965-01,30958,
1965-02,31616,
1965-03,32052,
1965-04,32502,
1965-05,32784,
1965-06,33114,
1965-07,33706,
1965-08,33968,
1965-09,34175,
1965-10,34421,
1965-11,34732,
1965-12,34914,
1966-01,35439,
1966-02,35736,
1966-03,35934,
1966-04,36053,
1966-05,36211,
1966-06,36287,
1966-07,36471,
1966-08,36657,
1966-09,36855,
1966-10,37014,
1966-11,37169,
1966-12,37523,
1967-01,37872,
1967-02,38190,
1967-03,38613,
1967-04,38852,
1967-05,39286,
1967-06,39574,
1967-07,40029,
1967-08,40326,
1967-09,40727,
1967-10,41391,
1967-11,41925,
1967-12,42297,
1968-01,43414,
1968-02,43949,
1968-03,44557,
1968-04,45047,
1968-05,45591,
1968-06,46033,
1968-07,46694,
1968-08,47373,
1968-09,47718,
1968-10,48347,
1968-11,48755,
1968-12,49674,comment
1969-01,47998,
1969-02,48750,
1969-03,49179,
1969-04,49710,
1969-05,50347,
1969-06,50622,
1969-07,51319,
1969-08,51925,
1969-09,52404,
1969-10,53168,
1969-11,53522,
1969-12,53704,
1970-01,54039,
1970-02,54465,
1970-03,55043,
1970-04,55690,
1970-05,56018,
1970-06,56427,
1970-07,57122,
1970-08,57698,
1970-09,58159,
1970-10,58787,
1970-11,59483,
1970-12,60232,
1971-01,60854,
1971-02,61211,
1971-03,61887,
1971-04,62828,
1971-05,63487,
1971-06,63868,
1971-07,64789,
1971-08,65484,
1971-09,66028,
1971-10,66718,
1971-11,67313,
1971-12,68075,
1972-01,70339,
1972-02,71973,
1972-03,73362,
1972-04,74559,
1972-05,75685,
1972-06,76849,
1972-07,78349,
1972-08,79297,
1972-09,80222,
1972-10,80816,
1972-11,81375,
1972-12,81799,
1973-01,83211,
1973-02,84977,
1973-03,85792,
1973-04,86415,
1973-05,87336,
1973-06,89029,
1973-07,90501,
1973-08,92052,
1973-09,92424,
1973-10,93783,comment
1973-11,93967,
1973-12,93634,
1974-01,94614,
1974-02,94956,
1974-03,95594,
1974-04,96769,
1974-05,97644,
1974-06,98559,
1974-07,99168,
1974-08,100762,
1974-09,101696,
1974-10,102623,
1974-11,104206,
1974-12,104366,
1975-01,106424,
1975-02,108495,
1975-03,109834,
1975-04,111688,
1975-05,113135,
1975-06,114215,
1975-07,115775,
1975-08,117205,
1975-09,118971,
1975-10,120418,
1975-11,121957,
1975-12,122579,
1976-01,125789,
1976-02,128030,
1976-03,130084,
1976-04,131162,
1976-05,132193,
1976-06,132927,
1976-07,134404,
1976-08,135892,
1976-09,137165,
1976-10,138308,
1976-11,139360,
1976-12,138952,
1977-01,141307,
1977-02,142203,
1977-03,143808,
1977-04,144938,
1977-05,145701,
1977-06,146407,
1977-07,148619,
1977-08,149907,
1977-09,150904,comment
1977-10,152178,
1977-11,153398,
1977-12,154749,
1978-01,158804,
1978-02,161253,
1978-03,162352,
1978-04,163046,
1978-05,164386,
1978-06,166054,
1978-07,166918,
1978-08,168931,
1978-09,170765,
1978-10,170139,
1978-11,171417,
1978-12,170806,
1979-01,173374,
1979-02,175532,
1979-03,178191,
1979-04,179526,
1979-05,181166,
1979-06,182963,
1979-07,184590,
1979-08,186309,
1979-09,186521,
1979-10,187839,
1979-11,191690,
1979-12,190213,
1980-01,193164,
1980-02,194313,
1980-03,198043,
1980-04,201517,
1980-05,203299,
1980-06,204378,
1980-07,206215,
1980-08,206409,
1980-09,207741,
1980-10,208919,
1980-11,211444,
1980-12,211340,
1981-01,215097,
1981-02,218616,
1981-03,225402,
1981-04,227750,
1981-05,231290,
1981-06,235123,
1981-07,238700,
1981-08,241165,
1981-09,244761,
1981-10,246280,
1981-11,248605,
1981-12,247665,
1982-01,253343,
1982-02,254367,
1982-03,258216,
1982-04,256350,
1982-05,257961,
1982-06,258577,
1982-07,260176,
1982-08,261939,
1982-09,263528,
1982-10,266494,
1982-11,269364,
1982-12,271368,
1983-01,277018,
