"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F2.L._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F2.L._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Currency and deposits / Monetary financial institutions / Long-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:12,
1991-01,617.074,
1991-02,-620.724,
1991-03,-659.858,
1991-04,-654.488,
1991-05,-156.548,
1991-06,-1585.034,
1991-07,-324.990,
1991-08,-810.658,
1991-09,278.486,
1991-10,463.452,
1991-11,1076.683,
1991-12,-445.541,
1992-01,-163.660,
1992-02,1643.202,
1992-03,1607.538,
1992-04,1327.729,
1992-05,1048.349,
1992-06,569.478,
1992-07,67.952,
1992-08,817.749,
1992-09,2024.887,
1992-10,1344.135,
1992-11,415.242,
1992-12,1196.361,
1993-01,-832.043,
1993-02,2197.681,
1993-03,545.667,
1993-04,1444.649,
1993-05,1714.031,
1993-06,884.373,
1993-07,842.299,
1993-08,1233.245,
1993-09,1755.621,
1993-10,4068.921,
1993-11,4184.577,
1993-12,1573.997,
1994-01,269.772,
1994-02,3789.662,
1994-03,2212.217,
1994-04,1285.585,
1994-05,1420.685,
1994-06,392.979,
1994-07,367.678,
1994-08,933.673,
1994-09,702.115,
1994-10,1962.523,
1994-11,3296.579,
1994-12,2638.902,
1995-01,2398.179,
1995-02,2586.865,
1995-03,2286.149,
1995-04,2233.635,
1995-05,2540.134,
1995-06,5172.449,
1995-07,2090.455,
1995-08,2239.645,
1995-09,2452.107,
1995-10,3091.214,
1995-11,1059.955,
1995-12,2754.074,
1996-01,2922.402,
1996-02,3642.342,
1996-03,2332.968,
1996-04,1980.217,
1996-05,1225.988,
1996-06,255.950,
1996-07,886.874,
1996-08,104.961,
1996-09,225.561,
1996-10,683.549,
1996-11,2666.102,
1996-12,3014.077,
1997-01,3863.209,
1997-02,2116.983,
1997-03,2908.562,
1997-04,3158.054,
1997-05,2227.447,
1997-06,3140.598,
1997-07,2062.898,
1997-08,2032.856,
1997-09,600.668,
1997-10,2278.005,
1997-11,1757.015,
1997-12,-834.936,
1998-01,2979.293,
1998-02,6421.940,
1998-03,1294.568,
1998-04,4811.644,
1998-05,4656.719,
1998-06,689.257,
1998-07,375.138,
1998-08,621.667,
1998-09,2032.471,
1998-10,2037.824,
1998-11,554.442,
1998-12,4851.982,
1999-01,3356.666,
1999-02,3382.977,
1999-03,6738.141,
1999-04,3103.189,
1999-05,1236.254,
1999-06,4198.232,
1999-07,7008.867,
1999-08,2937.419,
1999-09,1441.026,
1999-10,2085.599,
1999-11,1202.606,
1999-12,-1449.931,
2000-01,3995.908,
2000-02,4071.135,
2000-03,3808.270,
2000-04,2299.211,
2000-05,-119.099,
2000-06,-1663.272,
2000-07,-548.216,
2000-08,-1845.387,
2000-09,2562.721,
2000-10,4430.492,
2000-11,1449.210,
2000-12,-2775.878,
2001-01,-2136.540,
2001-02,1771.907,
2001-03,-2238.365,
2001-04,596.271,
2001-05,6598.514,
2001-06,4410.667,
2001-07,1086.693,
2001-08,1134.090,
2001-09,4653.690,
2001-10,242.133,
2001-11,-13447.784,
2001-12,1753.871,
2002-01,1628.240,
2002-02,-301.178,
2002-03,3014.614,
2002-04,2499.389,
2002-05,2064.014,
2002-06,563.400,
2002-07,766.517,
2002-08,6097.918,
2002-09,-1311.473,
2002-10,4729.163,
2002-11,-1925.813,
2002-12,553.798,
2003-01,585.418,
2003-02,-1801.874,
2003-03,-1784.601,
2003-04,-1644.809,
2003-05,2835.152,
2003-06,-1306.675,
2003-07,435.297,
2003-08,-4112.000,
2003-09,-3730.033,
2003-10,1396.767,
2003-11,-1026.640,
2003-12,4182.363,
2004-01,-2616.092,
2004-02,277.814,
2004-03,-6517.179,
2004-04,-1976.570,
2004-05,497.325,
2004-06,-63.425,
2004-07,-506.223,
2004-08,1491.467,
2004-09,4506.552,
2004-10,-3.609,
2004-11,-1966.678,
2004-12,-3252.110,
2005-01,1975.293,
2005-02,-1925.875,
2005-03,-2302.830,
2005-04,-5132.243,
2005-05,-1733.741,
2005-06,11393.016,
2005-07,840.918,
2005-08,-1636.292,
2005-09,40.072,
2005-10,-2695.181,
2005-11,-4804.078,
2005-12,-3854.715,
2006-01,-2795.737,
2006-02,-2342.580,
2006-03,2140.932,
2006-04,-968.074,
2006-05,-2252.204,
2006-06,3386.177,
2006-07,526.933,
2006-08,-2315.511,
2006-09,834.325,
2006-10,-177.950,
2006-11,3189.308,
2006-12,-14080.751,
2007-01,-1758.742,
2007-02,-464.997,
2007-03,-3772.130,
2007-04,424.985,
2007-05,3053.888,
2007-06,26.467,
2007-07,2897.970,
2007-08,-1719.395,
2007-09,-1781.629,
2007-10,-2566.728,
2007-11,-7202.754,
2007-12,-1453.064,
2008-01,-554.747,
2008-02,-907.695,
2008-03,-1412.300,
2008-04,-55.398,
2008-05,3535.905,
2008-06,-2910.219,
2008-07,-713.119,
2008-08,1480.974,
2008-09,7227.451,
2008-10,1155.232,
2008-11,6894.541,
2008-12,-3153.168,
2009-01,-2120.859,
2009-02,-340.593,
2009-03,-1091.943,
2009-04,-2653.068,
2009-05,-265.332,
2009-06,-922.531,
2009-07,-529.308,
2009-08,-4629.912,
2009-09,459.845,
2009-10,-2849.850,
2009-11,-4858.555,
2009-12,-5080.490,
2010-01,-614.949,
2010-02,-354.297,
2010-03,-577.567,
2010-04,-1118.519,
2010-05,384.962,
2010-06,-568.637,
2010-07,-4656.404,
2010-08,-153.184,
2010-09,2442.626,
2010-10,2556.786,
2010-11,383.526,
2010-12,-3458.605,
2011-01,-276.301,
2011-02,-2098.672,
2011-03,-1254.822,
2011-04,-3111.706,
2011-05,-35.499,
2011-06,-3704.072,
2011-07,1207.322,
2011-08,-132.354,
2011-09,-1990.244,
2011-10,-5189.223,
2011-11,-115.023,
2011-12,-1834.563,
2012-01,-851.636,
2012-02,-200.061,
2012-03,2959.238,
2012-04,-3276.369,
2012-05,-1125.800,
2012-06,-2238.629,
2012-07,-1121.997,
2012-08,-1891.491,
2012-09,2660.900,
2012-10,-2867.214,
2012-11,-1032.995,
2012-12,-1533.522,
2013-01,-520.917,
2013-02,-8814.426,
2013-03,-822.303,
2013-04,-1988.821,
2013-05,-721.835,
2013-06,251.561,
2013-07,-552.760,
2013-08,-894.036,
2013-09,-1198.744,
2013-10,-1354.793,
2013-11,1712.900,
2013-12,-1785.571,
2014-01,-4147.116,
2014-02,-2338.533,Provisional value
2014-03,3102.563,Provisional value
2014-04,305.899,Provisional value
2014-05,-1588.838,Provisional value
2014-06,-3508.572,Provisional value
2014-07,-3370.351,Provisional value
2014-08,-2263.099,Provisional value
2014-09,-304.294,
2014-10,-973.012,
2014-11,661.993,
2014-12,-153.736,Provisional value
