"",BBK01.OEAH26Q,BBK01.OEAH26Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:07,
2002-01,11.798,
2002-04,11.542,
2002-07,11.482,
2002-10,11.823,
2003-01,11.957,
2003-04,11.910,
2003-07,12.078,
2003-10,12.192,
2004-01,12.118,
2004-04,11.876,
2004-07,11.900,
2004-10,11.998,
2005-01,13.524,
2005-04,13.411,
2005-07,13.414,
2005-10,13.538,
2006-01,13.499,
2006-04,13.367,
2006-07,13.092,
2006-10,12.903,
2007-01,12.648,
2007-04,12.285,
2007-07,11.984,
2007-10,11.952,
2008-01,11.777,
2008-04,11.604,
2008-07,11.327,
2008-10,11.564,
2009-01,12.100,
2009-04,12.510,
2009-07,12.862,
2009-10,13.421,
2010-01,13.814,
2010-04,13.899,
2010-07,14.137,
2010-10,14.458,
2011-01,14.548,
2011-04,14.356,
2011-07,14.309,
2011-10,14.511,
2012-01,14.758,
2012-04,14.752,
2012-07,14.802,
2012-10,15.160,
2013-01,15.262,
2013-04,15.385,
2013-07,15.392,
2013-10,15.522,
2014-01,15.520,
2014-04,15.355,
2014-07,15.279,
