"",BBK01.OELB05V,BBK01.OELB05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:51,
2002-01,4.195,
2002-04,4.215,
2002-07,4.178,
2002-10,4.172,
2003-01,4.170,
2003-04,4.137,
2003-07,4.140,
2003-10,4.051,
2004-01,4.007,
2004-04,3.982,
2004-07,3.971,
2004-10,4.061,
2005-01,3.996,
2005-04,3.958,
2005-07,3.958,
2005-10,3.957,
2006-01,3.922,
2006-04,3.959,
2006-07,3.979,
2006-10,3.839,
2007-01,3.812,
2007-04,3.833,
2007-07,3.878,
2007-10,3.893,
2008-01,3.879,
2008-04,3.933,
2008-07,4.013,
2008-10,4.037,
2009-01,4.039,
2009-04,4.093,
2009-07,4.085,
2009-10,4.104,
2010-01,4.173,
2010-04,4.166,
2010-07,4.251,
2010-10,4.166,
2011-01,4.200,
2011-04,4.382,
2011-07,4.487,
2011-10,4.553,
2012-01,4.649,
2012-04,6.073,
2012-07,6.233,
2012-10,6.347,
2013-01,6.421,
2013-04,6.543,
2013-07,6.683,
2013-10,6.760,
2014-01,6.843,
2014-04,6.975,
2014-07,7.205,
