"",BBFN1.M.DE.N.1.L.PK.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PK.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Pakistan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:25,
1994-12,0.197,
1995-01,0.206,
1995-02,0.200,
1995-03,0.203,
1995-04,0.179,
1995-05,0.177,
1995-06,0.182,
1995-07,0.192,
1995-08,0.204,
1995-09,0.120,
1995-10,0.111,
1995-11,0.120,
1995-12,0.129,
1996-01,0.126,
1996-02,0.131,
1996-03,0.117,
1996-04,0.124,
1996-05,0.118,
1996-06,0.116,
1996-07,0.110,
1996-08,0.109,
1996-09,0.097,
1996-10,0.101,
1996-11,0.071,
1996-12,0.109,
1997-01,0.141,
1997-02,0.142,
1997-03,0.141,
1997-04,0.166,
1997-05,0.165,
1997-06,0.191,
1997-07,0.283,
1997-08,0.131,
1997-09,0.129,
1997-10,0.146,
1997-11,0.135,
1997-12,0.114,
1998-01,0.271,
1998-02,0.277,
1998-03,0.121,
1998-04,0.115,
1998-05,0.117,
1998-06,0.080,
1998-07,0.127,
1998-08,0.128,
1998-09,0.128,
1998-10,0.131,
1998-11,0.140,
1998-12,0.131,
1999-01,0.133,
1999-02,0.132,
1999-03,0.112,
1999-04,0.093,
1999-05,0.132,
1999-06,0.105,
1999-07,0.103,
1999-08,0.087,
1999-09,0.089,
1999-10,0.091,
1999-11,0.093,
1999-12,0.097,
2000-01,0.090,
2000-02,0.085,
2000-03,0.069,
2000-04,0.069,
2000-05,0.060,
2000-06,0.054,
2000-07,0.077,
2000-08,0.077,
2000-09,0.079,
2000-10,0.086,
2000-11,0.091,
2000-12,0.099,
2001-01,0.092,
2001-02,0.089,
2001-03,0.087,
2001-04,0.088,
2001-05,0.086,
2001-06,0.085,
2001-07,0.072,
2001-08,0.081,
2001-09,0.085,
2001-10,0.084,
2001-11,0.077,
2001-12,0.076,
2002-01,0.078,
2002-02,0.086,
2002-03,0.081,
2002-04,0.089,
2002-05,0.096,
2002-06,0.100,
2002-07,0.099,
2002-08,0.103,
2002-09,0.100,
2002-10,0.102,
2002-11,0.106,
2002-12,0.100,
2003-01,0.095,
2003-02,0.097,
2003-03,0.103,
2003-04,0.104,
2003-05,0.103,
2003-06,0.126,
2003-07,0.104,
2003-08,0.101,
2003-09,0.105,
2003-10,0.115,
2003-11,0.116,
2003-12,0.109,
2004-01,0.115,
2004-02,0.102,
2004-03,0.105,
2004-04,0.105,
2004-05,0.093,
2004-06,0.086,
2004-07,0.088,
2004-08,0.078,
2004-09,0.049,
2004-10,0.051,
2004-11,0.056,
2004-12,0.062,
2005-01,0.056,
2005-02,0.064,
2005-03,0.073,
2005-04,0.077,
2005-05,0.080,
2005-06,0.080,
2005-07,0.088,
2005-08,0.083,
2005-09,0.076,
2005-10,0.099,
2005-11,0.113,
2005-12,0.127,
2006-01,0.123,
2006-02,0.135,
2006-03,0.123,
2006-04,0.141,
2006-05,0.132,
2006-06,0.130,
2006-07,0.128,
2006-08,0.133,
2006-09,0.183,
2006-10,0.188,
2006-11,0.181,
2006-12,0.172,
2007-01,0.163,
2007-02,0.168,
2007-03,0.168,
2007-04,0.169,
2007-05,0.193,
2007-06,0.175,
2007-07,0.207,
2007-08,0.211,
2007-09,0.211,
2007-10,0.204,
2007-11,0.225,
2007-12,0.259,
2008-01,0.246,
2008-02,0.246,
2008-03,0.209,
2008-04,0.204,
2008-05,0.235,
2008-06,0.235,
2008-07,0.245,
2008-08,0.257,
2008-09,0.251,
2008-10,0.298,
2008-11,0.356,
2008-12,0.287,
2009-01,0.298,
2009-02,0.333,
2009-03,0.340,
2009-04,0.325,
2009-05,0.345,
2009-06,0.355,
2009-07,0.352,
2009-08,0.352,
2009-09,0.362,
2009-10,0.378,
2009-11,0.410,
2009-12,0.293,
2010-01,0.295,
2010-02,0.289,
2010-03,0.305,
2010-04,0.300,
2010-05,0.294,
2010-06,0.308,
2010-07,0.308,
2010-08,0.302,
2010-09,0.286,
2010-10,0.282,
2010-11,0.290,
2010-12,0.288,
2011-01,0.296,
2011-02,0.300,
2011-03,0.319,
2011-04,0.322,
2011-05,0.191,
2011-06,0.154,
2011-07,0.144,
2011-08,0.144,
2011-09,0.156,
2011-10,0.146,
2011-11,0.148,
2011-12,0.172,
2012-01,0.191,
2012-02,0.184,
2012-03,0.211,
2012-04,0.208,
2012-05,0.210,
2012-06,0.199,
2012-07,0.196,
2012-08,0.193,
2012-09,0.177,
2012-10,0.177,
2012-11,0.181,
2012-12,0.181,
2013-01,0.179,
2013-02,0.181,
2013-03,0.183,
2013-04,0.180,
2013-05,0.178,
2013-06,0.182,
2013-07,0.178,
2013-08,0.176,
2013-09,0.183,
2013-10,0.195,
2013-11,0.191,
2013-12,0.193,
2014-01,0.195,
2014-02,0.194,
2014-03,0.202,
2014-04,0.198,
2014-05,0.195,
2014-06,0.195,
2014-07,0.203,
2014-08,0.202,
2014-09,0.208,
2014-10,0.208,
2014-11,0.205,
2014-12,0.198,
