"",BBK01.CEBSQ2,BBK01.CEBSQ2_FLAGS
"",Savings certificates (consolidated) debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:17,
1991-01,5.3,
1991-04,5.6,
1991-07,5.8,
1991-10,6.1,
1992-01,6.3,
1992-04,6.5,
1992-07,6.8,
1992-10,7.5,
1993-01,7.8,
1993-04,8.4,
1993-07,9.2,
1993-10,8.5,
1994-01,8.9,
1994-04,9.1,
1994-07,9.2,
1994-10,9.4,
1995-01,11.1,
1995-04,11.7,
1995-07,12.1,
1995-10,12.6,
1996-01,13.0,
1996-04,13.1,
1996-07,13.6,
1996-10,14.1,
1997-01,14.5,
1997-04,14.7,
1997-07,15.0,
1997-10,15.3,
1998-01,15.6,
1998-04,15.9,
1998-07,16.2,
1998-10,16.2,
1999-01,18.6,
1999-04,18.8,
1999-07,18.5,
1999-10,18.0,
2000-01,18.0,
2000-04,18.0,
2000-07,18.1,
2000-10,18.3,
2001-01,18.1,
2001-04,18.2,
2001-07,18.2,
2001-10,17.5,
2002-01,17.4,
2002-04,17.5,
2002-07,17.2,
2002-10,16.9,
2003-01,17.1,
2003-04,16.9,
2003-07,16.7,
2003-10,16.3,
2004-01,16.0,
2004-04,16.1,
2004-07,15.9,
2004-10,15.9,
2005-01,15.8,
2005-04,15.9,
2005-07,15.6,
2005-10,15.1,
2006-01,14.9,
2006-04,14.7,
2006-07,14.4,
2006-10,14.1,
2007-01,14.5,
2007-04,14.4,
2007-07,14.1,
2007-10,14.3,
2008-01,14.1,
2008-04,14.0,
2008-07,13.4,
2008-10,13.3,
2009-01,13.2,
2009-04,13.4,
2009-07,13.7,
2009-10,14.0,
2010-01,14.6,
2010-04,14.6,
2010-07,14.8,
2010-10,12.2,
2011-01,11.8,
2011-04,12.0,
2011-07,12.0,
2011-10,11.8,
2012-01,11.3,
2012-04,11.2,
2012-07,11.1,
2012-10,11.0,
2013-01,10.8,
2013-04,10.6,
2013-07,10.5,
2013-10,10.4,
2014-01,9.9,
