"",BBK01.OELL05O,BBK01.OELL05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:08,
2002-01,0.437,
2002-04,0.446,
2002-07,0.430,
2002-10,0.436,
2003-01,0.446,
2003-04,0.449,
2003-07,0.408,
2003-10,0.440,
2004-01,0.461,
2004-04,0.466,
2004-07,0.491,
2004-10,0.496,
2005-01,0.505,
2005-04,0.505,
2005-07,0.491,
2005-10,0.463,
2006-01,0.449,
2006-04,0.447,
2006-07,0.435,
2006-10,0.421,
2007-01,0.390,
2007-04,0.385,
2007-07,0.385,
2007-10,0.372,
2008-01,0.359,
2008-04,0.343,
2008-07,0.335,
2008-10,0.329,
2009-01,0.333,
2009-04,0.346,
2009-07,0.393,
2009-10,0.483,
2010-01,0.534,
2010-04,0.576,
2010-07,0.582,
2010-10,0.580,
2011-01,0.587,
2011-04,0.610,
2011-07,0.606,
2011-10,0.595,
2012-01,0.586,
2012-04,0.579,
2012-07,0.551,
2012-10,0.504,
2013-01,0.453,
2013-04,0.440,
2013-07,0.444,
2013-10,0.458,
2014-01,0.466,
2014-04,0.452,
2014-07,0.432,
