"",BBK01.OEXO05L,BBK01.OEXO05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:52,
2002-01,0.013,
2002-04,0.010,
2002-07,0.008,
2002-10,0.034,
2003-01,0.009,
2003-04,0.009,
2003-07,0.007,
2003-10,0.050,
2004-01,0.036,
2004-04,0.032,
2004-07,0.041,
2004-10,0.066,
2005-01,0.034,
2005-04,0.033,
2005-07,0.033,
2005-10,0.056,
2006-01,0.031,
2006-04,0.042,
2006-07,0.032,
2006-10,0.068,
2007-01,0.039,
2007-04,0.035,
2007-07,0.029,
2007-10,0.057,
2008-01,0.024,
2008-04,0.017,
2008-07,0.021,
2008-10,0.065,
2009-01,0.027,
2009-04,0.018,
2009-07,0.022,
2009-10,0.081,
2010-01,0.021,
2010-04,0.013,
2010-07,0.017,
2010-10,0.038,
2011-01,0.014,
2011-04,0.015,
2011-07,0.017,
2011-10,0.040,
2012-01,0.018,
2012-04,0.015,
2012-07,0.015,
2012-10,0.030,
2013-01,0.015,
2013-04,0.010,
2013-07,0.014,
2013-10,0.017,
2014-01,0.009,
2014-04,0.008,
2014-07,0.009,
